Product,price,Shipping_cost
NEW UNLOCKED SAMSUNG GALAXY S23 ULTRA 5G SM-S918U ALL COLORS AND MEMORY GSM+CDMA,$897.88,52.55
Samsung Galaxy S20 FE 5G - 128 GB - Unlocked SIM - Fully Working - Good Shape!,$162.50,30.86
Samsung Galaxy S10e SM-G970U 128GB Black Verizon Smartphone NEW OTHER SEALED BOX,$139.55,30.95
"Samsung Galaxy A20 SM-A205U 32GB ROM 3GB RAM 6.4"" Unlocked Smartphone-New Sealed",$107.00,ree s
Samsung Galaxy S10E G970U (UNLOCKED) ALL COLORS (EXCELLENT CONDITION),$129.00,29.87
New ListingSamsung Galaxy Note9 SM-N960 - 128GB - Ocean Blue (Without Simlock) (Single SIM),$64.46,15.57
For PARTS Only Samsung Galaxy S21 Ultra 128GB 5G D GRADE CRACKED READ!!!,$125.00,29.75
Samsung Galaxy A51 5G SM-A516V Verizon Unlocked 128GB Prism Bricks Blue C,$74.99,28.27
Samsung Galaxy S21 Ultra 5G SM-G998U Verizon Unlocked 128GB Phantom Silver C,$299.99,34.91
New ListingSamsung Galaxy A70 SM-A705FN/DN 128GB Black,$48.35,15.57
New Samsung Galaxy  S23 S23+ Plus 256GB 512GB 8GB  Dual Sim Unlocked All colours,$855.26 to $943.30,52.81
Samsung Galaxy S22 Ultra - 256 GB - Graphite (Unlocked) (Single SIM),$355.00,68.18
Samsung Galaxy S22 SM-S901U - 128GB - Phantom White (Unlocked),$113.50,34.97
Samsung Galaxy Note 20Ultra 5G 128 256 512GB Unlocked Smartphone Pristine A+,$425.11 to $436.43,35.03
Samsung Galaxy Note9 - 128GB - Purple (For AT&T Smartphone),$44.00,28.13
Samsung Galaxy Z Fold4 5G F936U1 512GB (Unlocked) Verizon T-Mobile AT&T 9U-B,$549.00,42.26
Samsung Galaxy S20 Plus 5G - SM-G986U -  128GB  Light Blue  (Verizon) Smartphone,$12.50,33.45
Samsung Galaxy S23+ plus 5G S22+ S21+ S20+ 128GB 256gb Unlocked *Good Condition*,$433.92 to $665.35,35.24
"Factory Unlocked Samsung Galaxy S20 FE 5G 128GB 6.5"" (SM-G781U) - Very Good",$199.00,31.93
Samsung Galaxy Note 20 Ultra Unlocked N986U 128GB,$319.99 to $320.00,36.27
Verizon Samsung Galaxy S10e SM-G970U Android 128GB Prism Blue,$104.99,29.93
NEW Samsung Galaxy S22 ULTRA 5G  FACTORY UNLOCKED Smartphone -,$558.00 to $634.00,42.52
Samsung Galaxy Z Flip 4 5G Unlocked 128GB Graphite *SEE DISCRIPTION! O,$99.99,29.78
Samsung Galaxy A54 5G - 128 GB - Black (Unlocked) (Single SIM),$122.50,39.05
OPEN BOX Samsung Galaxy S10+ Plus 128/512GB/1TB UNLOCKED,$219.95 to $319.95,32.55
Brand New Samsung Galaxy A50 64GB All Colours Unlocked Smartphone 12 Months WTY,$138.34,25.04
EXCELLENT Samsung Galaxy S20 Ultra 5G 128GB - UNLOCKED,$289.95 to $299.95,34.62
Samsung Galaxy Z Flip (5G) SM-F707W T-Mobile/ At&t 256GB Mystic Bronze Very Good,$209.99,32.26
"Samsung Galaxy A20 SM-A205U 32GB ROM 3GB RAM 6.4"" Unlocked Smartphone-New Sealed",$112.03,ree s
Samsung Galaxy Note10+ Plus 256GB - Unlocked,$110.00,40.88
For PARTS Only Samsung Galaxy Z Flip3 5G SM-F711U 128GB  Screen ISSUE READ!!!,$65.00,27.98
"NEW Samsung Galaxy S9 - 64GB, unlocked, never used, ALL COLOURS",$157.21,25.70
Samsung Galaxy Folder G1600 Dual SIM LTE Flip Unlocked SmartPhone,$58.51,18.00
Samsung Galaxy A13 SM-A135U1/DS 32GB Unlocked dual SIM cracked screen works 100%,$50.00,ree s
Samsung Galaxy S7 | S7 edge 32GB - Unlocked Verizon AT&T T-Mobile Metro Cricket,$59.85 to $119.85,22.34
NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA,$245.88,33.32
"Samsung Galaxy A14 5G - 64GB (GSM UNLOCKED) 4GB RAM 6.6"" Display Black Mint",$129.99,29.90
Samsung Galaxy S8 | S8 Plus G950U | G955U - 64GB - (Unlocked) Good,$94.95 to $119.95,22.34
