,Product,Minimum_price,Maximum_price2,Shipping_cost
53,New ListingSamsung Galaxy S22 Ultra 5G Cracked Screen Damaged LCD For Parts Only Read Ad,100.0,100.0,35.78
54,Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone Good Shadow,174.0,174.0,31.19
55,Samsung Galaxy S10e/S10/S10+ Plus - Verizon/T-Mobile/AT&T Or Unlocked- Excellent,99.99,221.51,32.37
56,Samsung Galaxy A42 5G SM-A426U Factory Unlocked 128GB Prism Dot Black C,84.99,84.99,28.57
57,OEM! Samsung Galaxy S22 Ultra Burgundy Phantom White Black Green Back Plate,19.99,19.99,26.65
58,SAMSUNG Galaxy S22 5G S901U 128GB/256GB - US Carriers Unlocked Smartphone - NEW,410.0,475.0,38.16
59,BRAND NEW Samsung Galaxy S20+ Plus 5G G986U 128GB Fully Unlocked - Cosmic Black,249.99,249.99,34.21
60,"Samsung Galaxy Beam2 SM-G3858 4.66"" 5MP 3G Smartphone with Built-in Projector",100.69,100.69,18.00
61,Samsung Galaxy Xcover Pro SM-G715U1/ G715FN/DS Unlocked(Any Carrier)- New Sealed,157.0,195.0,ree s
62,Original Android Samsung I8530 Galaxy Beam 3G 8GB ROM with Built-in Projector,101.87,101.87,ree s
63,Samsung Galaxy NOTE 10 PLUS N975U1 256GB / 512GB (FACTORY UNLOCKED) ❖SEALED❖w,338.95,338.95,36.83
64,SAMSUNG Galaxy S21 5G 128GB Phantom Gray! Without Simlock!,421.27,421.27,21.60
65,Samsung Galaxy S21 FE 5G SM-G990U2 Factory Unlocked 128GB Graphite Good,189.99,189.99,31.67
66,Samsung Galaxy S24 Ultra 5G AI 256GB 512GB 1TB Unlocked New Sealed,1485.49,1839.49,25.49
67,NEW UNLOCKED SAMSUNG GALAXY S22 ULTRA 5G SM-S908U ALL COLORS AND MEMORY GSM+CDMA,608.88,789.88,44.02
68,Samsung Galaxy A24 4G 4GB Ram /A34 /A54 5G 128GB 6GB Ram Unlocked Android Purple,215.16,341.74,32.19
69,Samsung Galaxy S21 5G Unlocked G991U 128GB Android Smartphone Good,199.0,199.0,31.93
70,New Samsung Galaxy A34 Smartphone 128GB / 6GB Unlocked 5G Dual Sim All Colours,265.74,265.74,29.57
71,Samsung Galaxy Z Flip 3 5G SM-F711U1 Factory Unlocked 256GB Phantom Black Good,204.99,204.99,32.11
72,New Sealed Samsung Galaxy A15 Smartphone 128GB Unlocked 4G Dual Sim All Colours,174.65,174.65,26.43
73,Genuine Samsung Galaxy S10 Plus 128GB Unlocked S10+ NEW Sealed UK Stock SM-G975,379.59,379.59,33.50
74,Samsung Galaxy A54/5G/128GB Unlocked Android SmartPhone Black/Lime/Purple /White,341.74,341.74,32.19
75,Samsung Galaxy Note20 5G 128GB  Mystic Grey -Mystic Brone - Green( Unlocked) New,379.71,379.71,33.50
76,"NEW Samsung Galaxy A52s 5G - 128GB - (Unlocked) - never used, Dual Sim, BLACK",253.14,253.14,29.14
77,Samsung Galaxy A54 5G 128GB 8GB RAM Dual Sim Unlocked Andriod Smartphone Sealed,354.4,354.4,32.63
78,Samsung Galaxy S10e SM-G970U 128GB Black Verizon & GSM UNLOCKED SEALED NEW OTHER,149.88,149.88,31.26
79,NEW UNLOCKED SAMSUNG GALAXY A23 5G SM-A236U BLACK 64 GB GSM+CDMA,184.88,184.88,31.52
80,Factory Unlocked Samsung Galaxy NOTE 20 5G (SM-N981U) 128GB Gray - Pristine,275.0,275.0,34.95
81,Samsung Galaxy Note 20 Ultra Boost T-Mobile AT&T Verizon Mint Unlocked N986U B-,305.0,305.0,44.28
82,Samsung Galaxy A14 A145F 64GB GSM Factory Unlocked International Version (NEW),139.99,139.99,30.19
83,Samsung Note 20 5G - SM-N981U - T-Mobile/Verizon/AT&T Or Unlocked - GOOD,193.99,218.24,31.78
84,Samsung Galaxy S9 SM-G960U 64GB GSM Unlocked for AT&T T-Mobile Verizon,121.99,121.99,29.66
85,Samsung Flip Phone E1272 Big Button Basic Flip Phone - Unlocked - Dual Sim,32.26,32.26,18.97
86,Samsung Galaxy S21 | S21+ 5G 128GB 256GB - Unlocked Verizon T-Mobile AT&T Metro,204.95,344.95,33.58
87,New ListingSamsung Galaxy Note10 SM-N970U - 256GB - Aura Black (Unlocked) (Single SIM),104.5,104.5,29.92
88,Samsung Galaxy S21 Ultra 5G SM-G998B - 128GB - Phantom Black (Unlocked),227.51,227.51,19.56
89,New ListingSamsung Galaxy Note 20 Ultra 5G T-Mobile AT&T Verizon- Unlocked N986U - READ,33.0,33.0,33.81
90,Samsung Galaxy A32 5G - 64GB - SM-A326U (Unlocked) (Single SIM) Smartphone,89.95,124.95,28.72
91,Samsung Galaxy A14 A145M 128GB GSM Factory Unlocked International Version (NEW),153.99,153.99,30.60
92,New ListingSamsung Galaxy S10 - 128GB - Black (For AT&T Smartphone) #34527,13.5,13.5,27.23
93,Samsung Galaxy A02S (SM-A025U) 32GB Black Unlocked Smartphone-Good,59.5,59.5,27.82
94,Samsung Galaxy A04 A04s A04e 32GB 64GB 128GB Unlocked Any Network New SEALED,107.58,141.75,24.77
95,Samsung Galaxy S9+ Plus 64GB | Factory Unlocked | Verizon AT&T T-Mobile,129.0,129.0,29.87
96,Samsung Galaxy S8 Active SM-G892A - 64GB - (GSM Unlocked) Smartphone - Good,94.98,94.98,21.61
97,Samsung Galaxy A71 5G SM-A716U1 A716 AT&T UNLocked  128GB Fair,105.0,105.0,29.93
98,"Factory Unlocked Samsung Galaxy S20 FE 5G 128GB 6.5"" (SM-G781U) - Very Good",199.0,199.0,31.93
99,Samsung Galaxy A42 5G SM-A426U Verizon Unlocked 128GB Prism Dot Black Good,94.99,94.99,28.86
100,New SAMSUNG Galaxy A15 Factory Unlocked 128GB GSM Cell Phone INT. V BLBK,168.87,168.87,31.82
101,Brand New Samsung Galaxy A50 64GB All Colours Unlocked Smartphone 12 Months WTY,139.22,139.22,25.20
102,Samsung Galaxy Z Fold 5 SM-F946U1 Factory Unlocked 512GB Phantom Black OPEN BOX,949.99,949.99,54.09
103,Samsung Galaxy S9 SM-G960U 64GB GSM Unlocked for AT&T T-Mobile Verizon,121.99,121.99,29.66
104,Samsung Galaxy S20+ 5G SM-G986U - 128GB (Unlocked) - Cosmic Black,149.95,149.95,30.49
105,New ListingSamsung Galaxy S22 Ultra 5G Cracked Screen Damaged LCD For Parts Only Read Ad,100.0,100.0,35.78
106,New ListingSamsung Galaxy S22+ 256GB T-Mobile Clean ESN,325.0,325.0,40.80
107,For PARTS Only Samsung Galaxy Z Flip3 5G SM-F711U 128GB  Screen ISSUE READ!!!,65.0,65.0,27.98
108,Case for Samsung S22 S21 S20 S10 Plus S8 S6 A12 S23 Shockproof Hard Armor Cover,6.32,10.11,20.76
109,Samsung Galaxy S10e SM-G970U 128GB+6GB Factory Unlocked Smartphone - New Sealed,194.92,194.92,ree s
110,"Samsung Galaxy A14 5G - 64GB (GSM UNLOCKED) 4GB RAM 6.6"" Display Black Mint",129.99,129.99,29.90
111,Samsung Galaxy S23 FE 5G SM-S711B/DS 256GB 8GB RAM DUAL SIM Factory Unlocked NEW,564.95,564.95,42.73
112,SAMSUNG GALAXY S22 ULTRA 5G S908U1 128GB│256GB │512GB (FACTORY UNLOCKED) ❖SEALED,598.95,726.95,44.80
113,Samsung Galaxy Z Flip 5 SM-F731U1 Factory Unlocked 512GB Gray OPEN BOX,559.99,559.99,43.35
114,Samsung Galaxy S23+ SM-S916U - 256GB - Phantom Black (Carrier Unlocked),627.98,627.98,44.59
115,Samsung Galaxy Z Fold 3 5G SM-F926U1 Factory Unlocked 512GB Phantom Black C,359.99,359.99,37.45
116,Samsung Galaxy Z Fold 5 SM-F946U1 Factory Unlocked 512GB Blue OPEN BOX,949.99,949.99,82.94
117,"NEW Samsung Galaxy S9 - 64GB, unlocked, never used, ALL COLOURS",158.21,158.21,25.86
118,New ListingSamsung Galaxy S10 - 128GB - Black (Unlocked) (MUST READ DESCRIPTION),22.5,22.5,26.73
119,"Samsung Galaxy Beam2 SM-G3858 Smartphone 4.66"" 5MP 3G with Built-in Projector",150.86,150.86,ree s
120,Samsung Galaxy NOTE 20 ULTRA - 128GB - Fully Unlocked - VERY GOOD - (BURN),314.99,314.99,35.35
121,Samsung Galaxy S23 Ultra 5G SM-S918U Black 128GB REPORTED/CRACK,220.0,220.0,32.55
122,Samsung galaxy folder 2 white unlocked SM-G160N (LTE) USED Folder2 2019 model,229.0,229.0,7.00 
123,FULLY UNLOCKED ⭐ Samsung Galaxy A42 5G 128GB Black ⭐  THANKSGIVING SALES,139.0,139.0,30.93
124,"Samsung Galaxy A23 5G, Boost Mobile Only | Black, 64 GB, 6.6 in Mint",119.99,119.99,29.60
125,New Sealed Samsung Galaxy A24 Smartphone 4G Unlocked 128GB Dual Sim All Colours,194.86,194.86,27.13
126,Samsung Galaxy A32 5G - 64GB - SM-A326U (Unlocked) (Single SIM) Smartphone,89.95,124.95,29.75
127,Samsung Galaxy S7 32GB - AM-G930V AS IS UNTESTED w/ FLAWS,19.95,19.95,27.42
128,Samsung Galaxy A15 A155M 128GB 6GB RAM GSM Unlocked International Version (New),171.99,171.99,31.91
129,New ListingSamsung Galaxy Z Flip4 - 128gb - Black (For MetroPCS Smartphone),0.55,0.55,26.08
130,Samsung Galaxy S9 Unlocked | T-Mobile AT&T Verizon | 64GB 4G Smartphone Good,124.0,124.0,29.72
131,New ListingSamsung Jitterbug Flip2 - Red (Unlocked) Cellular Phone,19.99,19.99,26.65
132,NEW Samsung Galaxy Note 9 N960U 128GB Unlocked (GSM+CDMA) AT&T T-Mobile Verizon,228.88,228.88,33.59
133,Samsung Galaxy A05 (A055M/L DS) 128GB or 64GB/4GB RAM GSM Unlocked (Only 4G/LTE),119.99,139.99,30.19
134,SAMSUNG GALAXY S20+ PLUS 5G 128GB UNLOCKED VARIOUS COLOURS BRAND NEW,341.75,341.75,32.20
135,Samsung Galaxy Note 20 Ultra 5G SM-N986U 128GB GSM Unlocked ATT TMobile Verizon,374.99,374.99,37.12
136,Samsung Galaxy Z Flip 4 SM-F721U1 Factory Unlocked 256GB Pink Gold Good,274.99,274.99,34.95
137,9D Gorilla Screen Protector For Samsung Galaxy S23 S22 S20 FE Tempered Glass,7.58,8.85,12.66
138,Lot 5 Mix -Samsung Galaxy A13 5G-S136DL with SHATTERED SCREENS-FOR PARTS,149.0,149.0,31.23
139,SAMSUNG GALAXY NOTE 10 S10 S20+ Ultra S21 - FULLY UNLOCKED GSM/CDMA- MANY MODELS,109.99,329.99,32.55
140,Samsung Galaxy XCover Pro 64GB SM-G715U Verizon Black Phone,49.45,49.45,27.52
141,"Good! GSM Unlocked 6.7"" Samsung Galaxy A71 5G SM-A716U 128GB Black Smartphone",139.0,139.0,30.16
142,Samsung Galaxy A12 SM-A125F- 64GB - Blue Unlocked Dual SIM Android Smartphone,101.25,101.25,23.90
143,"Samsung Galaxy A20 SM-A205U 32GB ROM 3GB RAM 6.4"" Unlocked Smartphone-New Sealed",112.13,112.13,ree s
144,Samsung Galaxy A12 SM-A125F- 64GB - Blue Unlocked Dual SIM Android Smartphone,101.25,101.25,23.90
145,Samsung Galaxy S8 | S8 Plus G950U | G955U - 64GB - (Unlocked) Good,94.95,109.95,22.05
146,Samsung Galaxy S10 128GB G973U Unlocked with LCD Shadows - Very Good,119.99,119.99,29.60
147,"Samsung Galaxy Beam2 SM-G3858 Smartphone 4.66"" 5MP 3G with Built-in Projector",150.86,150.86,ree s
148,Samsung galaxy folder 2 white unlocked SM-G160N (LTE) USED Folder2 2019 model,229.0,229.0,7.00 
149,Samsung Galaxy S23 Ultra (S918B) 256GB 8GB RAM GSM Unlocked International NEW,904.99,904.99,52.76
150,Samsung Galaxy A53 5G SM-A536U1/DS - 128GB - Awesome Black (Unlocked) !!READ!!,122.19,122.19,30.44
151,Samsung Galaxy A52 5G - 128GB - SM-A526U (Unlocked) (Single SIM) Smartphone,144.95,164.95,30.93
152,New ListingSamsung Galaxy Z Fold4 - 256GB - Graygreen (Unlocked) (MUST READ DESCRIPTION),105.0,105.0,29.16
153,Samsung Galaxy Note 9 N960U GSM Factory Unlocked 128GB Smartphone -  Image Burn,139.99,139.99,53.24
154,Samsung Galaxy Z Flip 4 5G Unlocked 128GB Graphite *SEE DISCRIPTION! O,99.99,99.99,29.78
155,New ListingSamsung Galaxy S21+Plus 5G - 128 GB - Phantom Black (T-Mobile),180.0,180.0,42.97
156,Samsung Galaxy Note20 5G SM-N981U - 128GB - Mystic Gray (Unlocked) READ!,170.0,170.0,40.67
