store_name,location,rating
العربية للعود,طريق الأمير نايف بن عبدالعزيز، البركة، المدينة المنورة 42332، المملكة العربية السعودية,3.9
58 العربية للعود | arabian oud,7673 الامير سلطان بن عبدالعزيز، 3515، المطار، حائل 55421، المملكة العربية السعودية,4.0
العربية للعود,الامير عبدالمجيد بن عبدالعزيز، الشريبات، المدينة المنورة 42317، المملكة العربية السعودية,4.1
العربية للعود,الحديقة، المدينة المنورة 42383، المملكة العربية السعودية,3.7
العربية للعود,طريق صلاح الدين الايوبي، شوران، المدينة المنورة 42386، المملكة العربية السعودية,3.6
العربية للعود,2418 طريق سلطانة، بئر عثمان، المدينة المنورة 42331، المملكة العربية السعودية,4.4
العربية للعود,القصواء، المدينة المنورة 42391، المملكة العربية السعودية,3.8
العربية للعود,طريق قباء، الجمعة، المدينة المنورة 42315، المملكة العربية السعودية,4.0
العربية للعود,العباس بن عبادة، القصواء، المدينة المنورة 42391، المملكة العربية السعودية,4.5
العربية للعود,، حي، الخالدية، طريق الأمير محمد بن عبد العزيز، المدينة المنورة 42317، المملكة العربية السعودية,4.0
العربية للعود,طريق الأمير عبد المجيد، الجمعة، المدينة المنورة 42316، المملكة العربية السعودية,3.9
العربيه للعود,الحدائق، ينبع 46424، المملكة العربية السعودية,4.0
العربية للعود,العيون، المدينة المنورة 42331، المملكة العربية السعودية,3.9
العربية للعود,الزبارة، حائل 55425، المملكة العربية السعودية,4.0
العربيه للعود,"مخطط الرواف 5070, بريدة 52379، المملكة العربية السعودية",4.4
العربية للعود,7337 الامير سلطان فرعي، حي المحمدية، جدة 23625 2115، المملكة العربية السعودية,3.9
783 العربية للعود | arabian oud,"6230 أبو أيوب الأنصاري، بني خدرة، 2665, المدينة المنورة 42311، المملكة العربية السعودية",3.0
العربية للعود,طريق عثمان بن عفان، الصفراء، بريدة 52381، المملكة العربية السعودية,4.4
العربية للعود,طريق الملك عبدالله، الصفراء، بريدة 52383، المملكة العربية السعودية,3.9
العربية للعود,المشهد، ينبع 46423، المملكة العربية السعودية,4.1
159 العربية للعود | arabian oud,مصعب بن عمير، بضاعة، المدينة المنورة 42311، المملكة العربية السعودية,1.0
734 العربية للعود | arabian oud,الحرم north، المدينة المنورة 42311، المملكة العربية السعودية,4.3
العربية للعود,الصفراء، بريدة 52382، المملكة العربية السعودية,4.2
905 العربية للعود | arabian oud,الشارع العام سوق الذهب، الحائط 57363، المملكة العربية السعودية,4.2
العربية للعود,جوهرة، عرعر 73551، المملكة العربية السعودية,3.8
العربية للعود,طريق الملك عبدالعزيز، عقلة الصقور 54714، المملكة العربية السعودية,4.3
العربية للعود,طريق الأمير محمد بن عبدالعزيز، الروضة، جدة 23431، المملكة العربية السعودية,4.2
العربية للعود,طريق الملك عبدالله، 3363 طريق الملك عبدالله، حي ابرق الرغامة، جدة 22261، 9059، جدة 22261، المملكة العربية السعودية,4.5
العربية للعود,شارع عمر بن سليم، سلطانة، بريدة 52375، المملكة العربية السعودية,3.8
العربية للعود,"حي, الامير مقرن بن عبد العزيز, المروج، ينبع 46511، المملكة العربية السعودية",2.0
العربيه للعود,7248، 2415 سعود الفيصل، الصفا،، جدة 23451، المملكة العربية السعودية,3.6
العربية للعود,مهد الذهب 44411، المملكة العربية السعودية,3.4
العربية للعود,الحمدانية، جدة 23761، المملكة العربية السعودية,3.8
العربية للعود,العزيزية، طريف 75211، المملكة العربية السعودية,4.4
العربية للعود,"1, dana mall, gate، ينبع 46435، المملكة العربية السعودية",4.5
العربية للعود,الحمراء، جدة 23323، المملكة العربية السعودية,4.2
العربية للعود,4049، النازية، بريدة 52359، المملكة العربية السعودية,3.8
العربية للعود,شارع عبدالله سليمان، الفيحاء، جدة 22246، المملكة العربية السعودية,4.2
العربية للعود arabain oud,الفهد، شارع السوق التجاري،، البكيرية 51941، المملكة العربية السعودية,4.9
العربية للعود,"taibah district, جدة 23831، المملكة العربية السعودية",3.8
العربية للعود,طريق الليث الفرعي، القرينية، جدة 22535، المملكة العربية السعودية,3.8
العربية للعود,"ibrahim al khalil, st abraj al bait 1، مكة 24231، المملكة العربية السعودية",4.5
973 العربية للعود | arabian oud,فرع العربية للعود بالأمير نايف، 0،، حائل المملكة العربية السعودية,4.4
العربية للعود,3006 قريش، 6211، حي البوادي، جدة 23531، المملكة العربية السعودية,4.4
853 العربية للعود | arabian oud,فرع العربية للعود بصالات النويصر،، شارع الملك خالد، ،، حائل 55424، المملكة العربية السعودية,4.3
1258 العربية للعود | arabian oud,الحرم، المدينة المنورة 42311، المملكة العربية السعودية,5.0
العربية للعود,الصمد، رابغ 25728، المملكة العربية السعودية,4.1
العربية للعود,6155 ابراهيم الخليل، الشوقية، مكة 24351، المملكة العربية السعودية,4.4
العربية للعود,الشيرمي، البدائع 56352، المملكة العربية السعودية,3.6
العربية للعود,شارع الأمير محمد بن عبدالعزيز، الرحاب، jarir mall،، جدة 23345، المملكة العربية السعودية,3.2
العربية للعود,"3811 حراء, az zahra district, جدة 23522، المملكة العربية السعودية",4.1
العربية للعود,الجامعة، مكة 24243، المملكة العربية السعودية,4.4
العربية للعود,"جراند مول, طريق الملك سعود، النقرة، حائل 55431، المملكة العربية السعودية",1.9
646 العربية للعود | arabian oud,6793، al marwah district، جدة 23545، المملكة العربية السعودية,3.8
العربية للعود,ابو حذيفه بن عتبه، مدائن الفهد، جدة 22337، المملكة العربية السعودية,4.1
768 العربية للعود | arabian oud,6927 طريق الملك فهد، بضاعة، المدينة المنورة 42311، المملكة العربية السعودية,4.6
630 العربية للعود | arabian oud,طريق الملك عبدالله، شظاة، المدينة المنورة 42361، المملكة العربية السعودية,5.0
العربيه للعود فرع المناخة,fj74+wrc، الحرم، المدينة المنورة 42311، المملكة العربية السعودية,3.8
956 العربية للعود | arabian oud,2943، بضاعة، المدينة المنورة 42311، المملكة العربية السعودية,5.0
arabian oud,"مول, الوبرة، طريق الملك عبدالله الفرعي - المنار المملكة العربية السعودية",4.1
arabian oud,أبو أيوب الأنصاري، الحرم، المدينة المنورة 42311، المملكة العربية السعودية,4.5
العربية للعود,الشهداء، بدر 46357، المملكة العربية السعودية,4.5
581 العربية للعود | arabian oud,علي بن أبي طالب، الشربتلي، ينبع 46424، المملكة العربية السعودية,4.4
arabian oud,طريق الملك عبدالعزيز، السلام، املج 48321، المملكة العربية السعودية,4.1
العربية للعود,حمد الجاسر، الروضة، جدة 23434، المملكة العربية السعودية,4.3
العربية للعود,3952، 6873 حي، مريخ، جدة 23361، المملكة العربية السعودية,3.1
العربيه للعود arabia oud,jdsa8673، 8673 ام القرى، 4142، حي الصفا،، جدة 23456، المملكة العربية السعودية,4.4
882 العربية للعود | arabian oud,4618، as sabuh، رابغ 25754، المملكة العربية السعودية,4.3
العربية للعود,طريق سليمان الراجحي، حي القيم الأعلى، الطائف 26551، المملكة العربية السعودية,3.5
530 العربية للعود | arabian oud,الصمد، رابغ 25728، المملكة العربية السعودية,5.0
arabian oud العربية للعود,البهجه، مشرفة، جدة 23336، المملكة العربية السعودية,3.8
العربية للعود arabian oud,شارع الدكتور عبدالقادر كوشك، ولي العهد، مكة 24353، المملكة العربية السعودية,4.9
العربية للعود,شارع عبدالله سليمان، الفيحاء، جدة 22246، المملكة العربية السعودية,4.4
العربيه للعود الحمدانيه,"حي, jgaa4079, 8462 عمرو بن ابي وقاص(رضي الله عن، الحمدانية، 4079, جدة 23761، المملكة العربية السعودية",4.6
العربية للعود,شارع عابر القرات، أبحر الشمالية، جدة 23815، المملكة العربية السعودية,4.0
العربية للعود,6326 طريق الامير متعب بن عبدالعزيز، 3578، حي مشرفة، جدة 23341، المملكة العربية السعودية,4.3
العربية للعود,طريق الملك فهد فرعي، الربوة، جدة 23533، المملكة العربية السعودية,4.2
698 العربية للعود | arabian oud,الحمدانية، جدة 23761، المملكة العربية السعودية,4.3
العربية للعود,8912 قاسم زينة، 4471 قاسم زينة، حي الروضة، جدة 23434، جدة 23434، المملكة العربية السعودية,4.2
العربية للعود,قصر الضيافة، الزهراء، مكة 24221، المملكة العربية السعودية,3.8
949 العربية للعود | arabian oud,الفيصلية، الجموم 25335، المملكة العربية السعودية,4.2
العربية للعود,ام القرى، الصفا، جدة 23453، المملكة العربية السعودية,4.1
العربية للعود,7599 الأمير ماجد، حي العزيزية، 2335، جدة 23342، المملكة العربية السعودية,4.2
