store_name,location,rating
الماجد للعود,"8835 طريق نجم الدين الأيوبي الفرعي، حي طويق, RKWA4915، 4915, الرياض 14936، المملكة العربية السعودية",4.5
الماجد للعود,MMPM+PPF، طريق الملك فهد، العليا، الرياض 12311، المملكة العربية السعودية,4.8
الماجد للعود,حي، RMAB3205، 3205 طريق النصر، العزيزية، 8697، الرياض 14515، المملكة العربية السعودية,5.0
الماجد للعود,PMQ6+4C، شارع العليا، الملك فهد، الرياض 12262، المملكة العربية السعودية,5.0
الماجد للعود اسواق طيبه,PMM7+QMM، شارع العليا، اسواق طيبه، شارع الامير نايف، الرياض 12261، المملكة العربية السعودية,5.0
أضواء الماجدة للعود,الملز، طريق عمر بن عبدالعزيز جنوب المستشفي الوطني، الرياض المملكة العربية السعودية,5.0
Almajed For Oud,طريق الملك عبدالعزيز الفرعي، الملك فهد، الرياض 12272، المملكة العربية السعودية,5.0
Almajed For Oud,HJ7W+262، شبرا، الرياض 12989، المملكة العربية السعودية,3.7
الماجد للعود,"7486، البرج، الخرج 16278 2667, الخرج 16278، المملكة العربية السعودية",4.3
الماجد للعود,السلام، الخرج 16278، المملكة العربية السعودية,4.0
الماجد للعود,السليمانية، الخرج 16278، المملكة العربية السعودية,4.3
Almajed For Oud,الخزامى، الخرج 16272، المملكة العربية السعودية,4.6
الماجد للعود,"برج الساعه ( وقف, الملك عبد العزيز, al-khalel, برج الماسة، 1 الغربيه، ebrahim, مكة المملكة العربية السعودية",4.0
الماجد للعود,"Jabal Omar, الشبيكة، مكة 24231، المملكة العربية السعودية",4.5
الماجد للعود,"6566, مكة المملكة العربية السعودية",4.4
الماجد للعود,طريق الملك عبدالله، الجامعة، مكة 24246، المملكة العربية السعودية,3.8
الماجد للعود,"aziziah shimalia, الجامعة، مكة 24242، المملكة العربية السعودية",4.2
الماجد للعود,شارع أجياد، الروابي، مكة 24234، المملكة العربية السعودية,4.4
الماجد للعود,"3861, مكة المملكة العربية السعودية",4.5
الماجد للعود,"المهندس عمر قاضي, Road، مكة 24268، المملكة العربية السعودية",4.3
الماجد للعود,"بطحاء قريش، 9470, مكة المملكة العربية السعودية",4.4
الماجد للعود,6275 3922 الامير عبدالعزيز بن عبدالله بن تركي ال سعود، الزاهر، مكة 24222، المملكة العربية السعودية,4.8
Almajed For Oud,3264، العمرة الجديدة، مكة 24416 6777، مكة المملكة العربية السعودية,4.3
الماجد للعود,"شارع الحرازات, حي المحاميد, جدة المملكة العربية السعودية",4.1
Almajed For Oud,النسيم، مكة 24245، المملكة العربية السعودية,4.6
الماجد للعود,مدينة الامير فواز شارع الاجاويد، جدة المملكة العربية السعودية,4.4
Almajed for Uod,طريق ابراهيم الخليل، الشبيكة، مكة 24231، المملكة العربية السعودية,3.7
الماجد للعود,"District, Al Amir Fawaz Al Janouby, جدة المملكة العربية السعودية",4.7
Almajed For Oud,محطة قطار الحرمين السريع HARAMAIN HIGH SPEED RAILWAY STATION، الرصيفة، مكة 24232، المملكة العربية السعودية,4.8
الماجد للعود,شارع العام، حي، جدة المملكة العربية السعودية,4.4
الماجد للعود,شارع عبدالله سليمان، الثغر، جدة 22338، المملكة العربية السعودية,4.6
الماجد للعود,طريق الحرمين السريع، النسيم، جدة 23241، المملكة العربية السعودية,4.6
الماجد للعود,شارع الأجواد، السامر، جدة 23462، المملكة العربية السعودية,4.2
الماجد للعود,7021 طريق الأمير طلال بن منصور بن عبدالعزيز، الأصالة، جدة 23738، المملكة العربية السعودية,3.5
الماجد للعود,طريق الملك عبدالله الفرعيG65F+G4M، الفيحاء، جدة 22251، المملكة العربية السعودية,4.5
الماجد للعود,"7314 احمد البدوي, حي الثغر, 5546, جدة 22338، المملكة العربية السعودية",4.2
الماجد للعود,"Andalus Mall, الفيحاء، جدة 22245، المملكة العربية السعودية",4.4
الماجد للعود,طريق الامير متعب بن عبدالعزيز، الصفا، جدة 23451، المملكة العربية السعودية,4.7
الماجد للعود,"8005 احمد المفتاح, As Safa District، جدة 23454، المملكة العربية السعودية",4.1
الماجد للعود,6945 المحب الطبري، حي السامر، 3286، جدة 23462، المملكة العربية السعودية,4.0
الماجد للعود,"عزيز مول, الأمير ماجد، الفيصلية، جدة 23447، المملكة العربية السعودية",4.2
الماجد للعود,عامر بن أبي ربيعة، المروة، جدة 23545، المملكة العربية السعودية,4.5
الماجد للعود,طريق المكرونة، مشرفة، جدة 23336، المملكة العربية السعودية,4.2
الماجد للعود,العزيزية، جدة 23338، المملكة العربية السعودية,3.7
الماجد للعود,"Serafi Maga Mall, الفيصلية، جدة 23441، المملكة العربية السعودية",4.5
الماجد للعود شارع التحلية طريق الأمير محمد بن عبدالعزيز,9100 شارع الأمير محمد بن عبدالعزيز، الأندلس، JCAA2623، 2623، جدة 23326، المملكة العربية السعودية,4.5
الماجد للعود,"G65C+8WQ السلام مول, الأمير ماجد، الفيحاء، جدة 23343، المملكة العربية السعودية",4.1
الماجد للعود,2160 طريق المدينة المنورة، الروضة، جدة 23434، المملكة العربية السعودية,4.5
Almajed For Oud,H54M+9Pc، العزيزية، H54M+9QQ، جدة 23334، المملكة العربية السعودية,4.2
الماجد للعود,قريش، البوادي، جدة 23443، المملكة العربية السعودية,4.5
الماجد للعود,"مركز المحمل التجاري, طريق الملك عبدالعزيز الفرعي، البلد، جدة 22233، المملكة العربية السعودية",4.3
الماجد للعود,4599 شارع فلسطين، الرويس، جدة 23215، المملكة العربية السعودية,4.1
الماجد للعود,شارع الأمير محمد بن عبدالعزيز، الروضة، جدة 23432، المملكة العربية السعودية,4.2
الماجد للعود,P5WQ+MRH، الحمدانية، جدة 23743، المملكة العربية السعودية,4.3
الماجد للعود,"P5Pv+Mc، الكوثر، Al Kawthar District, 2973، جدة 23743، المملكة العربية السعودية",4.3
Almajed For Oud,طريق الامير سلطان، الزهراء، جدة 23425، المملكة العربية السعودية,4.8
الماجد للعود,3122 حراء، حي النزهة، جدة 23532 6186، المملكة العربية السعودية,4.6
الماجد للعود,"حي, النزهة، العرب مول بوابة ١ يمين السلم الكهربائي, جدة المملكة العربية السعودية",4.4
الماجد للعود,طريق الامير سلطان، الروضة، جدة 23433، المملكة العربية السعودية,4.7
الماجد للعود,Al Sagr، الصحيفة، جدة 22237، المملكة العربية السعودية,3.5
