store_name,location,rating
ابراهيم القرشي,Q439+GG7، أبحر الشمالية، جدة 23815، المملكة العربية السعودية,4.4
ابراهيم القرشي,العزيزية، فلامنجو مول حي، جدة المملكة العربية السعودية,3.6
دار القرشي للعود و العطور,7424 طريق المسجد الحرام، 3756، الجامعة، مكة 24243، المملكة العربية السعودية,4.3
ابراهيم القرشي,"Taiba neighborhood, طيبة، جدة 23832، المملكة العربية السعودية",3.9
إبراهيم القرشي,عبدالله المطري، الأندلس، جدة 23322، المملكة العربية السعودية,4.1
Ibrahim Alqurashi | ابراهيم القرشي,طريق الامير سلطان، الزهراء، جدة 23425، المملكة العربية السعودية,4.8
مركز زياد للمواد الغذائية( القرشي سابقا),9QPX+FCP، شارع عبد الله بن العباس، الشوقية، مكة 24351، المملكة العربية السعودية,4.1
ابراهيم القرشي,حي الجال، الطائف 26523، المملكة العربية السعودية,4.1
إبراهيم القرشي,"ابراهيم القرشي, الشاطئ، جدة 23612، المملكة العربية السعودية",4.2
IBRAHIM ALQURASHI,"الراشد ميغا مول, شظاة، المدينة المنورة 42361، المملكة العربية السعودية",4.3
ابراهيم القرشي,4001 طريق الملك عبدالله الفرعي، العيون، المدينة المنورة 42331، المملكة العربية السعودية,4.4
ابراهيم القرشي ibrahim alqurashi,الحرم، المدينة المنورة 42311، المملكة العربية السعودية,4.0
ابراهيم القرشي Ibrahim Al-Qurashi,6692 العباس بن عبادة، القصواء، 4964، المدينة المنورة 42391، المملكة العربية السعودية,5.0
إبراهيم القرشي فرع سلطانه,FHPG+MHM، بئر عثمان، المدينة المنورة 42331، المملكة العربية السعودية,5.0
IBRAHEEM AL.QURASHI,"FH6M+6VF, Ground floor al manar mall, المدينة المنورة المملكة العربية السعودية",4.4
Abdul Samad Al Qurashi,CGXM+27، الامام البخاري، الدفاع، المدينة المنورة 42375، المملكة العربية السعودية,4.2
إبراهيم القرشي,FJC5+J99، ممر مشاة، بضاعة، المدينة المنورة 42311، المملكة العربية السعودية,5.0
Abdul Samad Al Qurashi,طريق الهجرة الفرعي، القصواء، المدينة المنورة 42391، المملكة العربية السعودية,3.7
Abdul Samad Al Qurashi,FMP2+G3 كارفور، الطريق الدائري الراشد ميغامول مقابل، المدينة المنورة المملكة العربية السعودية,4.4
ابرهيم القرشي,FH6M+6VP، طريق الملك عبدالله، الوبرة، المدينة المنورة 42371، المملكة العربية السعودية,4.3
Abdul Samad Al Qurashi,FHMW+HW، بوابة رقم 1، شارع الملك فهد سوق المدينة الدولي، المدينة المنورة المملكة العربية السعودية,4.6
Abdul Samad Al Qurashi,8352 طريق الملك عبدالله الفرعي، الوبرة، Al Manar Plaza، المدينة المنورة 42371، المملكة العربية السعودية,4.3
إستراحة إبراهيم القرشي,V75C+R8M، مكة 23791، المملكة العربية السعودية,3.9
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"Northern Obhur, Prince Abdullah Al-Faisal Street, أبحر الشمالية، Prince Abdullah AlFiasal St, جدة المملكة العربية السعودية",5.0
Abdul Samad Al Qurashi,عزيز مول، جدة المملكة العربية السعودية,4.0
Abdul Samad Al Qurashi,مجمع العرب مقابل مكتبة العبيكان، جدة المملكة العربية السعودية,4.0
محمد القرشي للعود والعطور,شارع الأمير محمد بن عبدالعزيز، الروضة، جدة 23432، المملكة العربية السعودية,4.4
Abdul Samadal Qurashi,المنار، جدة 23462، المملكة العربية السعودية,3.4
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"opposite City Max, Gate 6, second floor, Budaiya, أبها 00000، المملكة العربية السعودية",3.8
ابراهيم القرشي للعطور | Ibrahim AlQurashi,طريق الملك فهد، الموظفين، أبها 62583، المملكة العربية السعودية,5.0
بخور القرشي,جوار العثيم ودرعه والمساعد للعطور، الربوة، أبها 62217، المملكة العربية السعودية,4.2
محمدالقرشي للعود والعنبر والعطور,6HM6+QQH، أبها 62581، المملكة العربية السعودية,3.3
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"King Fahd Road, Al Khalidiya, خميس مشيط 62461، المملكة العربية السعودية",4.1
ابراهيم القرشي,طريق الملك خالد، ذلالة، خميس مشيط 62411، المملكة العربية السعودية,3.0
إبراهيم القرشي,8Q58+PFQ، الموسى، خميس مشيط 62463، المملكة العربية السعودية,5.0
طيب القرشي,6M74+C7، أبها 62439، المملكة العربية السعودية,4.8
القرشي للعود والعنبر والعطور,7024 طريق الملك فهد، التحلية، خميس مشيط 62454، المملكة العربية السعودية,4.3
ابراهيم القرشي,District Gate 3 next to swiss corner، طريق الكورنيش، الشاطيء، جازان 82725، المملكة العربية السعودية,4.2
محمد القرشي للعطور,3916، 8740، السلام، خميس مشيط 62461 3916، 62461، المملكة العربية السعودية,4.1
ابراهيم القرشي,"St, Shihar, الطائف المملكة العربية السعودية",4.0
شركة طيب القرشي,AKPD8835، 3877 طريق الملك فهد، السلام، 8835، خميس مشيط 62461، المملكة العربية السعودية,5.0
الماجد للعود,مذركير الراشد، البديع، أبها 62581، المملكة العربية السعودية,4.2
ابراهيم القرشي للعطور | Ibrahim AlQurashi,"Al Rashid mall, الشاطيء، جازان 82723، المملكة العربية السعودية",4.9
ابراهيم القرشي,الفيضة، 8552، حي الريان، عنيزة 56241، المملكة العربية السعودية,4.3
Abdul Samad Al Qurashi,خميس مشيط طريق المدينة العسكرية الخميس افينيو مول، خميس مشيط المملكة العربية السعودية,4.1
دخون,AlRashid Mall Ground floor المملكة العربية السعودية,4.3
Almajed For Oud,طريق الملك عبدالعزيز، ذرة، أبها 62521، المملكة العربية السعودية,3.5
الماجد للعود,"الحزام, أبها 62521، المملكة العربية السعودية",3.8
أعواد القرشي بيت البخور والمسك والعود,طريق وادي بن هشبل، خميس مشيط 62411، المملكة العربية السعودية,5.0
