store_name,location,rating
ابراهيم القرشي للعود والعطور,MQPG+7RP، الطريق الدائري الشرقي، الفرعي،، الرياض 14215،، المملكة العربية السعودية,4.0
محمد القرشي للعود والعطور,طريق الملك فهد، عتيقة، الرياض 13515، المملكة العربية السعودية,4.2
ابراهيم القرشي,"Hayat Mall, الملك فهد، الرياض 12272، المملكة العربية السعودية",3.7
ابراهيم القرشي للعود والعنبر,QQFG+CQX، الملك فيصل، الرياض 13215، المملكة العربية السعودية,4.1
إبراهيم القرشي,طريق الامام سعود بن عبدالعزيز بن محمد الفرعي، الملك فهد، الرياض 12262، المملكة العربية السعودية,3.9
عبدالصمد للساعات و المجوهرات,شارع العليا، الورود، الرياض 12253، المملكة العربية السعودية,3.9
ابراهيم القرشي,QJ4J+73W بارك بوابه رقم٢ الدور الاول، العقيق، الرياض 13511، المملكة العربية السعودية,4.3
Abdul Samad Al Qurashi,5829+V9G، طريق أبي بكر الصديق، السلام، شارع القاعدة مع الستين، الخرج 16277، المملكة العربية السعودية,4.0
عبد الصمد القرشي,8144 المهندس عمر قاضي، الخضراء، مكة 24267 4650 المملكة العربية السعودية,4.2
عبد الصمد القرشي للعطور,CR9H+X2، أجياد، مكة 24231، المملكة العربية السعودية,4.2
Abdul Samad Al Qurashi,CQMR+93 بنك الراجحي، قصر الضيافة، بجوار، مكة 24225، المملكة العربية السعودية,4.1
عبد الصمد القرشي,شارع الشيخ محمد بن جبر، الشوقية، الشوقية، مكة 24351، المملكة العربية السعودية,4.3
عبد الصمد القرشي,9V4H+56، حي العوالي الشارع الرئيسي ( شارع ابراهيم الجفالي بجوار بنك الراجحي مجمع دنا سنتر، مكة المملكة العربية السعودية,4.2
عبد الصمد القرشي,"Al Hijrah,, Kuday, 3rd Ring Road,, مكة المملكة العربية السعودية",4.3
عبدالصمد القرشي,9RF3+9M بنك الراجحي، الشوقية سوق القوافل بجوار، مكة المملكة العربية السعودية,4.0
عبد الصمد القرشي,حي النزهة سوق الضيافة بوابة رقم 7 المملكة العربية السعودية,3.8
عبدالصمد القرشي,9QGQ+HJV، الشوقية، مكة 24351، المملكة العربية السعودية,4.8
عبد الصمد القرشي,"سوق الحجاز، طريق رقم 3، شارع الستين, بوابة، مكة المملكة العربية السعودية",3.8
عبد الصمد القرشي,CV4C+CG، حي العزيزية سوق السلام التجاري، مكة المملكة العربية السعودية,4.2
عبدالصمد القرشي,الحرم، مكة 24231، المملكة العربية السعودية,3.8
عبد الصمد القرشي,جبل عمر هيلتون، شارع ابراهيم الخليل، سويت المملكة العربية السعودية,3.7
Abdul Samad Al Qurashi,بوابة 2، حي العزيزية طريق الملك عبدالعزيز مجمع مكة مول، مكة المملكة العربية السعودية,4.2
القرشي للعود والعطور,6939 الهجرة، الحرم، مكة 24231، المملكة العربية السعودية,4.0
عبدالصمد القرشي مكه مول,مكة مول، طريق الملك عبدالله، الجامعة، مكة 24246، المملكة العربية السعودية,3.6
Abdul Samad Al Qurashi,"9W63+73V, 8634 At Taif Rd, 4949, مكة 24372، المملكة العربية السعودية",4.2
مصنع عبدالصمد القرشي للعطور,"8W95+7GG، Unnamed Road, العوالي،، مكة 24377، المملكة العربية السعودية",4.6
عبدالصمد القرشي,اسكان الامير فواز حي الاجاويد، جدة المملكة العربية السعودية,4.1
مستودع عبد الصمد القرشي,4242، الملك فهد، 7513، مكة 24346، المملكة العربية السعودية,5.0
Abdul Samad Alqurashi Head Office,"9RRW+GP، كدي، 4214, 6813، مكة 24234، المملكة العربية السعودية",4.9
دار القرشي للعود و العطور,7424 طريق المسجد الحرام، 3756، الجامعة، مكة 24243، المملكة العربية السعودية,4.3
ابراهيم القرشي,7856-7802 قصر الضيافة، النزهة، مكة 24225، المملكة العربية السعودية,4.2
عبدالصمد القرشي,H6RJ+HJ حي، السامر، جدة 23462، المملكة العربية السعودية,4.0
عبد الصمد القرشي,شارع عبدالله سليمان، ،جدة، حي الفيحاء،،، جدة المملكة العربية السعودية,4.0
عبد الصمد القرشي,الاندلس مول، الفيحاء، - بوابه رقم 3، جدة 22245، المملكة العربية السعودية,4.0
عبدالصمد القرشي,J6C2+V5، شارع حراء، المروة، جدة 23543، المملكة العربية السعودية,4.1
عبدالصمد القرشي,"3286 طريق الملك فهد فرعي, حي العزيزية،, 9060، جدة 23334، المملكة العربية السعودية",4.9
عبدالصمد القرشي,"6729 برحة الميزان، Al Balad District, Jeddah 22233 2841 المملكة العربية السعودية",4.4
Abdul Samadal Qurashi,المنار، جدة 23462، المملكة العربية السعودية,3.4
عبدالصمد القرشي,شارع الامير سلطان مقابل ايس لاند، جدة 23618، المملكة العربية السعودية,4.2
عبدالصمد القرشي,شارع الحمدانية، الحمدانية، جدة 23761، المملكة العربية السعودية,3.9
عبدالصمد القرشي,الامير فيصل بن فهد، حي الشاطئ، جدة 23612، المملكة العربية السعودية,4.1
عبدالصمد القرشي,عمرو بن ابي وقاص، الحمدانية، جدة 23761، المملكة العربية السعودية,5.0
عبد الصمد القرشي,7، هيفا مول بوابه رقم، جدة المملكة العربية السعودية,4.2
عبدالصمد القرشي,"Q5F9+GGG حي, 7021 طريق الأمير طلال بن منصور بن عبدالعزيز، الأصالة، جدة 23738، المملكة العربية السعودية",5.0
عبدالصمد القرشي,"يو ووك, السلامة، جدة 23424، المملكة العربية السعودية",5.0
عبدالصمد القرشي,H525+GJ، شارع الأمير محمد بن عبدالعزيز، الأندلس، جدة 23326، المملكة العربية السعودية,4.3
عبدالصمد القرشي,مجمع الموج بلازا، شارع عبر القارات، أبحر الشمالية، جدة 23815، المملكة العربية السعودية,4.4
عبدالصمد القرشي,7869 احمد العطاس، الزهراء، جدة 23425، المملكة العربية السعودية,5.0
Abdul Samad Al Qurashi,عزيز مول، جدة المملكة العربية السعودية,4.0
Abdul Samad Al Qurashi عبد الصمد القرشي,شارع المكرونه مجمع الشرق، جدة المملكة العربية السعودية,4.2
ابراهيم القرشي ibraheem al.qurashi,Ground floor - gate 5، طريق الملك عبدالله، al-jamea district، مكة المملكة العربية السعودية,4.1
عبدالصمد القرشي - التحلية الماسي,شارع الأمير محمد بن عبدالعزيز، الروضة، جدة 23432، المملكة العربية السعودية,4.6
Abdul Samad Al Qurashi,An Nuzhah J5J3+PV As-Samer، Jeddah 23532، المملكة العربية السعودية,4.7
مزرعة القرشي,GQ9F+J2، النوارية، مكة 24213، المملكة العربية السعودية,5.0
HH Shiekh Ehsan AS Al Qurashi’s Palace,9V4J+6G2، شارع إبراهيم الجفالي، مكة 24372، المملكة العربية السعودية,5.0
Abdul Samad Al Qurashi,النعيم، جدة 23526، المملكة العربية السعودية,4.3
Abdul Samad Al Qurashi,مجمع العرب مقابل مكتبة العبيكان، جدة المملكة العربية السعودية,4.0
عبد الصمد القرشي,7، حراء الدولي بوابه، جدة المملكة العربية السعودية,4.1
عبدالصمد القرشي للعود,موسى القاضي، السويقة القديمة مقابل معرض، الطائف 26553، المملكة العربية السعودية,4.0
عبدالصمد القرشي,7CFJ+3W، سوق الطائف الدولي شارع، الطائف المملكة العربية السعودية,4.0
Abdul Samad Al Qurashi,طريق الملك خالد، حي الجال، الطائف 26523، المملكة العربية السعودية,3.9
عبدالصمد القرشي,مول رونزا بلازا، شهار، الطائف 26513، المملكة العربية السعودية,3.5
عبدالصمد القرشي ( الادارة العامة بجدة ),الامير فيصل بن فهد، الشاطئ، جدة 23613، المملكة العربية السعودية,4.6
عبدالصمد القرشي,"حي, الجوهرة،, 2467، حي سلطانة، الطائف 26575 7187،،, الطائف 26575، المملكة العربية السعودية",5.0
عبدالصمد القرشي,9HJH+97، شارع العليا على، العليا، تبوك 47914، المملكة العربية السعودية,4.0
عبد الصمد القرشي,9GWX+27، شارع الملك عبد العزيز بوابة3، الصالحية، تبوك 47913، المملكة العربية السعودية,3.9
عبدالصمد القرشي,CHHF+H3، مروج الأمير، تبوك 47315، المملكة العربية السعودية,4.2
عبد الصمد القرشي,تبوك البلد شارع الحمراء الراقي مول المملكة العربية السعودية,2.9
عبدالصمد القرشي,FJPM+FM فيديكس، طريق المطار، الطالع، المدينة المنورة 42314، المملكة العربية السعودية,4.0
Abdul Samad Al Qurashi,طريق الهجرة الفرعي، القصواء، المدينة المنورة 42391، المملكة العربية السعودية,3.7
Abdul Samad Al Qurashi,CGXM+27، الامام البخاري، الدفاع، المدينة المنورة 42375، المملكة العربية السعودية,4.2
عبدالصمد القرشي,FHPH+W4، طريق سلطانة على الشارع العام، المدينة المنورة المملكة العربية السعودية,4.1
عبد الصمد القرشي,فندق دار التقوى، FJC6+FR، معرض 10 منطقة الحرم النبوي الشريف، المدينة المنورة المملكة العربية السعودية,4.3
عبدالصمد القرشي,FMFH+W8، طريق الملك سعود، النقرة، حائل 55431، المملكة العربية السعودية,4.1
عبدالصمد القرشي,FHWV+9V، الطريق الدائري النور مول بجانب أكسيوم، المدينة المنورة المملكة العربية السعودية,3.8
عبد الصمد القرشي,GM6X+M7، طريق الملك عبدالعزيز، الزبارة، حائل 55425، المملكة العربية السعودية,3.9
Abdul Samad Al Qurashi,الامير عبدالرحمن السديري، الجوف بلازا بوابة1، طريق الأمير فهد بن بدر بن عبد العزيز تقاطع، سكاكا المملكة العربية السعودية,3.2
عبدالصمد القرشي,F444+54، السلام، الدمام 32416، المملكة العربية السعودية,4.4
Abdul Samad Al Qurashi,FMP2+G3 كارفور، الطريق الدائري الراشد ميغامول مقابل، المدينة المنورة المملكة العربية السعودية,4.4
عبدالصمد القرشي,شارع الكورنيش الدور الاول مدخل الهايبر بندة، الدمام المملكة العربية السعودية,4.1
عبد الصمد القرشي,FJGW+RF9، شارع حريث بن سعد، العريض، المدينة المنورة 42314، المملكة العربية السعودية,4.6
عبد الصمد القرشي,العثيم مول 9WFP+2R Buraydah، Riyadh المملكة العربية السعودية,4.1
Abdul Samad Al Qurashi,FHMW+HW، بوابة رقم 1، شارع الملك فهد سوق المدينة الدولي، المدينة المنورة المملكة العربية السعودية,4.6
عبدالصمد القرشي - الحرم,2731 مصعب بن عمير، بضاعة، المدينة المنورة 42311، المملكة العربية السعودية,4.4
عبدالصمد القرشي,8GJX+3Q، بوابة 2، مدينة الهفوف الاحساء مول، الهفوف المملكة العربية السعودية,3.7
عبد الصمد القرشي,طريق الملك فهد، المنار، مجمع النخيل مول، الدمام 32274، المملكة العربية السعودية,4.0
عبدالصمد القرشي,العمري سنتر 9WVQ+2J Buraydah، Riyadh المملكة العربية السعودية,4.0
عبدالصمد القرشي,شارع سوق المشاغل مدينة بريدة، بريدة 52382، المملكة العربية السعودية,3.8
