job_title, company_name_and_address, job_type
User Experience Designer, Gulf Business Machines PND - Riyadh, Saudi Arabia 13 days ago, Full Time, 
Videographer/ Video Editor, KFM - Doha, Qatar 13 days ago, Full Time, 
UX/UI Designer, Dicetek LLC - Dubai, United Arab Emirates 13 days ago, Freelance / Project, 
Director of Digital Media, HAX Consulting - Dubai, United Arab Emirates 13 days ago, Full Time, 
Director - Microsoft Operations, Core42 - Dubai, United Arab Emirates 14 days ago, Full Time, 
Graphic Designer, IKK Group – Isam Khairi Kabbani Group - Makkah, Saudi Arabia 14 days ago, Full Time, 
Work From Home Customer Service, Alison Phillips - Dubai, United Arab Emirates 14 days ago, Full Time, 
Work From Home Administrative Clerks - Work Remotely, Alison Phillips - Dubai, United Arab Emirates 14 days ago, Full Time, 
Senior Product Designer - (UI/UX), Dawarha - Cairo, Egypt 15 days ago, Full Time, 
Creative Director, Talent Disruptors - Riyadh, Saudi Arabia 15 days ago, Full Time, 
Interior Designer - Luxury Home - Minotti, Al Tayer Insignia - Dubai, United Arab Emirates 15 days ago, Full Time, 
Visual Design Specialist, Project Growth - Cairo, Egypt 15 days ago, Freelance / Project, 
Graphic Design, Talent Disruptors - Cairo, Egypt 15 days ago, Full Time, 
Video Editor, Project Growth - Cairo, Egypt 15 days ago, Freelance / Project, 
Senior Interior Design Architect, AtkinsRéalis - Riyadh, Saudi Arabia 15 days ago, Full Time, 
Easy Work From Home - Data Entry Operators, City Swap Network, Inc. - Dubai, United Arab Emirates 15 days ago, Full Time, 
Work From Home Admin Clerks - Work Remotely, City Swap Network, Inc. - Dubai, United Arab Emirates 15 days ago, Full Time, 
Career Development Program, Mercedes-Benz Australia/Pacific Pty - Dubai, United Arab Emirates 16 days ago, Full Time, 
Visual Merchandising Specialist - UAE, Tiffany - Dubai, United Arab Emirates 16 days ago, Full Time, 
Taste & Wellbeing Creative Marketing Associate for ME, Givaudan - Dubai, United Arab Emirates 16 days ago, Freelance / Project, 
Media Director, topEngineer - Dubai, United Arab Emirates 16 days ago, Full Time, 
Learning Experience Designer, Noon - The Social Learning Platform - Cairo, Egypt 16 days ago, Full Time, 
Graphic Designer & Video Editor, AudaCity Capital Management - Dubai, United Arab Emirates 16 days ago, Full Time, 
Senior Product Designer, Malaa Technologies - Riyadh, Saudi Arabia 16 days ago, Full Time, 
Standard Graphic Designer, Valeo - Cairo, Egypt 17 days ago, Full Time, 
Digital Marketing Strategy Analyst, Accenture Middle East - Dubai, United Arab Emirates 16 days ago, Full Time, 
Graphic Designer, TheTalentPoint | Jobs in UAE & Middleeast - Dubai, United Arab Emirates 17 days ago, Full Time, 
BIM Coordinator, AtkinsRéalis - Dubai, United Arab Emirates 17 days ago, Full Time, 
Architectural Design Manager, Guardian Industries - Cairo, Egypt 17 days ago, Full Time, 
Senior specialist, Graphic Designer, Brunel - Kuwait City, Kuwait 17 days ago, Full Time, 
Senior Design Engineer, AVI-SPL Middle East - Dubai, United Arab Emirates 17 days ago, Full Time, 
Senior Hair Stylist - Bahrain, Domo Ventures W.L.L. - Riyadh, Saudi Arabia 17 days ago, Full Time, 
Creative Packaging Designer, Pupilar UAE | Future of Hiring - Dubai, United Arab Emirates 17 days ago, Full Time, 
Interior Design Architect, AtkinsRéalis - Riyadh, Saudi Arabia 17 days ago, Full Time, 
Motion Graphic Designer, XM - Cairo, Egypt 17 days ago, Full Time, 
Senior Hair Stylist -  Bahrain, Domo Ventures - Riyadh, Saudi Arabia 17 days ago, Full Time, 
Senior Hair Stylist - Bahrain, Domo Ventures - Riyadh, Saudi Arabia 17 days ago, Full Time, 
Sr. Digital Director - Global Media Agency, Right Calibre Consulting - Dubai, United Arab Emirates 17 days ago, Full Time, 
Social Media Designer, APCO Worldwide - Dubai, United Arab Emirates 18 days ago, Full Time, 
Senior Hair Stylist - Location: Bahrain, Domo Ventures - Kuwait City, Kuwait 17 days ago, Full Time, 
3D Visualizer, Archcorp Architectural Engineering - Dubai, United Arab Emirates 18 days ago, Full Time, 
Graphic Designer, Workforce Development Solutions - Cairo, Egypt 18 days ago, Full Time, 
Senior Director, Legal, ROSHN l روشن - Makkah, Saudi Arabia 18 days ago, Full Time, 
Interior Designer, Al Tayer Insignia - Dubai, United Arab Emirates 18 days ago, Full Time, 
MEP Supervisor 3 (Power), Air Products - Tabuk, Saudi Arabia 18 days ago, Full Time, 
Electrical Supervisor 3 (Power), Air Products - Tabuk, Saudi Arabia 18 days ago, Full Time, 
Marketing Director (Saudi - PIF RE Portfolio Entity), Michael Page - Riyadh, Saudi Arabia 18 days ago, Full Time, 
3D Product Designer, Homzmart - Cairo, Egypt 18 days ago, Full Time, 
Quran Printing expert operators, Reliance Human Resources Consultancy - Dubai, United Arab Emirates 18 days ago, Full Time, 
Motion Graphic Supervisor, MBC Group - Dubai, United Arab Emirates 18 days ago, Full Time, 
Head of Design (Dubai -Remote), Token Metrics Inc - Dubai, United Arab Emirates 18 days ago, Full Time, 
Interior Designer, ABM - Riyadh, Saudi Arabia 18 days ago, Full Time, 
Graphic Designer, jobed.com - Cairo, Egypt 18 days ago, Full Time, 
UX/UI Specialist, Dicetek LLC - Dubai, United Arab Emirates 18 days ago, Freelance / Project, 
Theater Senior Logistician (Multiple Available – OCONUS), Bravura Information Technology Systems, Inc. (BITS) - Kuwait City, Kuwait 18 days ago, Full Time, 
Graphic designer,, Rekrut by Talent 360 - Cairo, Egypt 18 days ago, Full Time, 
Video Editor, WalaPlus - Riyadh, Saudi Arabia 18 days ago, Full Time, 
Senior videographer, A2Z Media - MENA - Doha, Qatar 19 days ago, Full Time, 
Director of Music, The Arts Club Dubai - Dubai, United Arab Emirates 18 days ago, Full Time, 
Easy Work From Home - Data Entry Operators, Alison Phillips - Riyadh, Saudi Arabia 18 days ago, Full Time, 
Work From Home Data Entry Job (Entry Level), Alison Phillips - Dubai, United Arab Emirates 19 days ago, Full Time, 
Senior Video Editor, A2Z Media - MENA - Doha, Qatar 19 days ago, Full Time, 
Editor, VAP Group - Dubai, United Arab Emirates 19 days ago, Full Time, 
Video Editor, VAP Group - Dubai, United Arab Emirates 19 days ago, Full Time, 
Product Designer, elGrocer by Smiles - Online Grocery Delivery - Cairo, Egypt 19 days ago, Full Time, 
Interior Designer, Olayan Saudi Holding Company - Riyadh, Saudi Arabia 19 days ago, Full Time, 
Artwork Finalizer, VML - Riyadh, Saudi Arabia 20 days ago, Full Time, 
UX Designer & Graphic Designer, NamaaIT - Cairo, Egypt 20 days ago, Full Time, 
IT Director, DIMENSIONS HOSPITALITY - Makkah, Saudi Arabia 19 days ago, Full Time, 
Graduate Urban Design, WSP in the Middle East - Riyadh, Saudi Arabia 20 days ago, Full Time, 
Associate Creative Director Experience Design - Oman based, Publicis Sapient - Dubai, United Arab Emirates 20 days ago, Full Time, 
Account Director, Social Media, APCO Worldwide - Dubai, United Arab Emirates 20 days ago, Full Time, 
Senior Director - Utilities Operations and Maintenance, Michael Page - Dubai, United Arab Emirates 20 days ago, Full Time, 
Senior Strategic Designer, Bain & Company - Dubai, United Arab Emirates 20 days ago, Full Time, 
Senior UI/UX Designer, StellaStays Inc - Cairo, Egypt 20 days ago, Full Time, 
Graphic Designer, Nathan & Nathan - Dubai, United Arab Emirates 20 days ago, Full Time, 
Graphic Designer, Albostany for real estate - Cairo, Egypt 20 days ago, Full Time, 
Senior Motion Graphics & Video Editor, Albostany for real estate - Cairo, Egypt 20 days ago, Full Time, 
UX Designer, Dicetek LLC - Dubai, United Arab Emirates 20 days ago, Freelance / Project, 
Designer, myGwork - Cairo, Egypt 21 days ago, Full Time, 
CAD Designer Lead, Brunel - Doha, Qatar 21 days ago, Full Time, 
Senior Director - Utilities Operations and Maintenance, Michael Page - Riyadh, Saudi Arabia 21 days ago, Full Time, 
Interior Designer, H. M. Al Rugaib & Sons Trading Co. - شركة حمد محمد الرقيب و أولاده التجارية - Riyadh, Saudi Arabia 21 days ago, Full Time, 
Senior Audio Visual Technician, Expo City Dubai - Dubai, United Arab Emirates 21 days ago, Full Time, 
Design Specialist, NEOM - Riyadh, Saudi Arabia 21 days ago, Full Time, 
Graphic Designer, Financial Gym - Cairo, Egypt 21 days ago, Full Time, 
Art Director, webook.com | We're All About Fun - Riyadh, Saudi Arabia 22 days ago, Full Time, 
Senior UI/UX Designer, Nawy Company - Cairo, Egypt 22 days ago, Full Time, 
Freelance Senior Branding Designer, M&C Saatchi Group - Dubai, United Arab Emirates 23 days ago, Full Time, 
Senior Design Specialist, AIM World Services - Kuwait City, Kuwait 23 days ago, Full Time, 
Graphic Designer, AtkinsRéalis - Riyadh, Saudi Arabia 24 days ago, Full Time, 
Producer, TAIT - Dubai, United Arab Emirates 24 days ago, Full Time, 
Graphic Designer- Intern, dentsu - Riyadh, Saudi Arabia 24 days ago, Part Time, 
Senior Design Engineer, Hill International (Middle East) Limited - Riyadh, Saudi Arabia 24 days ago, Full Time, 
Department Manager - Project Controls (E1), Hill International (Middle East) Limited - Riyadh, Saudi Arabia 24 days ago, Full Time, 
Junior Helpdesk Coordinator, ITP Media Group - Riyadh, Saudi Arabia 24 days ago, Full Time, 
Director of Marketing & Communications, WSP in the Middle East - Dubai, United Arab Emirates 24 days ago, Full Time, 
E-Learning Instructional Design Specialist, Qatar Airways - Doha, Qatar 25 days ago, Full Time, 
Creative Director, AKQA - Riyadh, Saudi Arabia 25 days ago, Full Time, 
User Experience Designer, TheTalentPoint | Jobs in UAE & Middleeast - Dubai, United Arab Emirates 25 days ago, Full Time, 
Temp Graphic Designer, dmg events - Dubai, United Arab Emirates 25 days ago, Full Time, 
Senior Graphic Designer, TIS (Tech for Integrated Services) by EXA - Cairo, Egypt 25 days ago, Full Time, 
Senior UI/UX Designer, Abu Dhabi Islamic Bank - Dubai, United Arab Emirates 25 days ago, Full Time, 
Multimedia Manager, Bayut.com - Dubai, United Arab Emirates 25 days ago, Full Time, 
Senior Graphic Designer, Klivvr - Cairo, Egypt 26 days ago, Full Time, 
Senior Product Designer, Klivvr - Cairo, Egypt 25 days ago, Full Time, 
Senior Design Manager - Water Park, WSP in the Middle East - Riyadh, Saudi Arabia 26 days ago, Full Time, 
Product Designer, Klivvr - Cairo, Egypt 26 days ago, Full Time, 
Motion Designer, Klivvr - Cairo, Egypt 26 days ago, Full Time, 
Graphic User Interface Designer, TheTalentPoint | Jobs in UAE & Middleeast - Dubai, United Arab Emirates 26 days ago, Full Time, 
Mid Senior Exhibitions & Events Designer, Electra Exhibitions LLC - Dubai, United Arab Emirates 26 days ago, Full Time, 
Senior Graphic Designer, Prezlab - Dubai, United Arab Emirates 26 days ago, Full Time, 
Media Director, Wavemaker MENA - Dubai, United Arab Emirates 26 days ago, Full Time, 
Senior Graphic Designer, Blackstone eIT - Cairo, Egypt 26 days ago, Full Time, 
BIM Coordinator (Buildings), Parsons Corporation - Riyadh, Saudi Arabia 26 days ago, Full Time, 
BIM Coordinator, DAR ENGINEERING - Cairo, Egypt 26 days ago, Full Time, 
Senior Interior designer, Homzmart - Cairo, Egypt 26 days ago, Full Time, 
Senior Environment Health & Safety Advisor, SGS Société Générale de Surveillance SA - Cairo, Egypt 26 days ago, Full Time, 
Media Director, Business Science - Dubai, United Arab Emirates 26 days ago, Full Time, 
Senior Design Manager - MEP, Jones Lang LaSalle IP, Inc - Riyadh, Saudi Arabia 26 days ago, Full Time, 
Creative Producer, Project Growth - Cairo, Egypt 26 days ago, Freelance / Project, 
Graphic Designer, Project Growth - Cairo, Egypt 26 days ago, Freelance / Project, 
Senior Design Engineer, Honeywell - Cairo, Egypt 26 days ago, Full Time, 
Stylist, Chloé - Dubai, United Arab Emirates 26 days ago, Full Time, 
Urban Designer (Saudi National), Parsons Corporation - Al Jawf, Saudi Arabia 26 days ago, Full Time, 
Design Architect, Skidmore, Owings & Merrill (SOM) - Dubai, United Arab Emirates 26 days ago, Full Time, 
IT Director, GatedTalent - Connecting Top Executive Search Firms And Executives - Dubai, United Arab Emirates 26 days ago, Full Time, 
Landscape Architect, AtkinsRéalis - Cairo, Egypt 26 days ago, Full Time, 
Senior Product Designer, Qoyod - قيود - Cairo, Egypt 26 days ago, Full Time, 
Motion Designer, BFL Group - Dubai, United Arab Emirates 27 days ago, Full Time, 
CNC Operator: (Oil and Gas): Dammam, NOV - Riyadh, Saudi Arabia 27 days ago, Full Time, 
Instructional Designer, MatchaTalent - Riyadh, Saudi Arabia 27 days ago, Full Time, 
Digital Apps Director, Salam - Riyadh, Saudi Arabia 27 days ago, Full Time, 
Graphic Designer (6 month contract), Acorn Strategy - Dubai, United Arab Emirates 27 days ago, Full Time, 
IT Director, Michael Page - Riyadh, Saudi Arabia 27 days ago, Full Time, 
UX/UI Designer, Marn - Riyadh, Saudi Arabia 27 days ago, Full Time, 
Sr. Designer, Brunel - Doha, Qatar 27 days ago, Full Time, 
Technical Design Director, Parsons Corporation - Riyadh, Saudi Arabia 27 days ago, Full Time, 
Motion Graphic Designer, Steer Studios - Riyadh, Saudi Arabia 28 days ago, Full Time, 
Multimedia Designer, Hill & Knowlton - Dubai, United Arab Emirates 28 days ago, Full Time, 
Design & Digital Products Intern, Accenture Middle East - Dubai, United Arab Emirates 27 days ago, Full Time, 
User Experience Designer, MMI - Maritime and Mercantile International - Dubai, United Arab Emirates 27 days ago, Full Time, 
Remote Work-From-Home Positions (Easy Data Entry Jobs), Kleurenbeeld - Riyadh, Saudi Arabia 27 days ago, Full Time, 
Ad Designer, Project Growth - Cairo, Egypt 27 days ago, Freelance / Project, 
Graphic Designer, TACT - Riyadh, Saudi Arabia 28 days ago, Full Time, 
UX Researcher & Arabic Designer, Nomo Fintech - Dubai, United Arab Emirates 28 days ago, Full Time, 
Director- Loan Agency, First Abu Dhabi Bank (FAB) - Dubai, United Arab Emirates 28 days ago, Full Time, 
Media Director, EssenceMediacom MENA - Dubai, United Arab Emirates 28 days ago, Full Time, 
Digital Experience & Ancillary, SAUDI AIRLINES - Makkah, Saudi Arabia 28 days ago, Full Time, 
Lead Product Designer, Mentalyc Inc. - Cairo, Egypt 28 days ago, Full Time, 
Freelance Graphic Designer, Truelancer.com - Cairo, Egypt 28 days ago, Full Time, 
Creative Director, trivers - Riyadh, Saudi Arabia 28 days ago, Full Time, 
Senior Art Director, TACT - Riyadh, Saudi Arabia 28 days ago, Full Time, 
Art & Design Teacher, Taaleem - Dubai, United Arab Emirates 28 days ago, Full Time, 
Senior Graphic Designer, Seam Labs - Cairo, Egypt 28 days ago, Full Time, 
Graphic Designer, Tamimi Group - Riyadh, Saudi Arabia 29 days ago, Full Time, 
IP Pricing Specialist, DHL Global Forwarding - Riyadh, Saudi Arabia 28 days ago, Full Time, 
Graphic Designer, Park Hyatt - Doha, Qatar 29 days ago, Full Time, 
Design Director - Hospitality / Mixed-use, Qiddiya | القدية - Riyadh, Saudi Arabia 29 days ago, Full Time, 
Media & Public Relations Representative, Saudi Petroleum Services Polytechnic - Dammam, Saudi Arabia 29 days ago, Full Time, 
Senior Creative Designer - TikTok LIVE (MENA), TikTok - Dubai, United Arab Emirates 30 days ago, Full Time, 
Graphics Designer, Wego Pte Ltd - Cairo, Egypt 30 days ago, Full Time, 
Senior Marketing Manager Robotics, Smith+Nephew - Dubai, United Arab Emirates 30 days ago, Full Time, 
Stand Design Manager, Informa Connect of Informa PLC - Riyadh, Saudi Arabia 1 month ago, Full Time, 
Stand Design Manager, Informa Connect Limited - Riyadh, Saudi Arabia 1 month ago, Full Time, 
Design House Admin, Miracle-On - New Cairo, Cairo, Egypt 12 days ago, Full Time, 
Executive Assistant, Oulabitex  - 10th of Ramadan City, Cairo, Egypt 26 days ago, Full Time, 
Graphic Designer, Confidential - Ameria, Alexandria, Egypt 17 hours ago, Full Time, 
Graphic Designer, Deefekrah - New Cairo, Cairo, Egypt 7 days ago, Full Time, 
Senior graphic designer, Confidential - Rehab City, Cairo, Egypt 11 days ago, Full Time, 
Junior Marketing Specialist, KB Architects  - Maadi, Cairo, Egypt 18 days ago, Full Time, 
Creative Director, Confidential - New Cairo, Cairo, Egypt 16 days ago, Full Time, 
Creative Director, ATRIC Developments - Heliopolis, Cairo, Egypt 12 days ago, Full Time, 
UI UX Designer, Confidential - Heliopolis, Cairo, Egypt 11 days ago, Full Time, 
Graphic Designer, In House - Mohandessin, Giza, Egypt 11 days ago, Full Time, 
Senior Graphic Designer, TRAVCO GROUP - Sheikh Zayed, Giza, Egypt 6 days ago, Full Time, 
Graphic Designer, Estafsar - Sheikh Zayed, Giza, Egypt 25 days ago, Full Time, 
Senior UX Designer, LINK Development - Maadi, Cairo, Egypt 14 days ago, Full Time, 
Interior Designer, Nihal Zaki Interiors - 6th of October, Giza, Egypt 11 days ago, Full Time, 
accountant, Abnaa-Ammam - Maadi, Cairo, Egypt 20 days ago, Full Time, 
Senior Graphic Designer, Digital Plus - Cairo, Egypt 24 days ago, Part Time, 
UI/UX Design, nichepharma - Sheikh Zayed, Giza, Egypt 1 month ago, Internship, 
Graphic Designer - Content Creator, SCAS - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Patternist ( Fashion Retail ), Al-Nasser  - 6th of October, Giza, Egypt 17 hours ago, Full Time, 
UI UX Designer, Allianz - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
UI UX Designer, Confidential - Dokki, Giza, Egypt 5 hours ago, Full Time, 
Marketing Associate, CRIF EGYPT - Heliopolis, Cairo, Egypt 7 days ago, Full Time, 
English Translator / Content Editor, Confidential - Sheraton, Cairo, Egypt 1 month ago, Full Time, 
Art Teacher, Confidential - Alsadat City, Monufya, Egypt 1 month ago, Full Time, 
Fashion Designer, Mimo for women clothes - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Senior Ui/UX Designer, Rescounts - Cairo, Egypt 26 days ago, Full Time, 
Graphic Designer for Marketing and Advertising agency, Marketing and advertising agency - Sheraton, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Saudi-firmness - Katameya, Cairo, Egypt 29 days ago, Full Time, 
English/Arabic Content Creator, Confidential - Sheraton, Cairo, Egypt 12 days ago, Full Time, 
Sr.Graphic Designer, Confidential - Sheraton, Cairo, Egypt 1 month ago, Full Time, 
Junior Interior Designer, Amer Vision Group - Sheraton, Cairo, Egypt 1 month ago, Full Time, 
UI UX Designer, Wakeb Data - Mohandessin, Giza, Egypt 4 days ago, Full Time, 
Content Creator, Gorgov - New Cairo, Cairo, Egypt 5 days ago, Full Time, 
Marketing Specialist, Egypt Teda - Ain Sokhna, Suez, Egypt 15 days ago, Full Time, 
UI UX Designer, Bright Creations - Smart Village, Giza, Egypt 12 days ago, Full Time, 
Graphic Designer, Promech Engineering - Maadi, Cairo, Egypt 2 months ago, Full Time, 
Odoo Implementation Manager, OdooTec - New Cairo, Cairo, Egypt 14 days ago, Full Time, 
UI UX Designer, Confidential - Heliopolis, Cairo, Egypt 1 month ago, Full Time, 
Senior Cost Control Engineer - Site Based, DME Holding - New Cairo, Cairo, Egypt 22 days ago, Full Time, 
Video & Photographer, Confidential - New Cairo, Cairo, Egypt 18 days ago, Full Time, 
Marketing Specialist, LinkMisr - Heliopolis, Cairo, Egypt 1 month ago, Full Time, 
Content Creator / Writer, Business integration trading company - Nasr City, Cairo, Egypt 20 days ago, Full Time, 
Content Creator, NOK for Human Capital Solutions - Maadi, Cairo, Egypt 26 days ago, Full Time, 
Web Designer, Impact Technology  - Cairo, Egypt 1 month ago, Full Time, 
Junior Architect / interior designer, Ahmed Osman-Archi-Arts - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Duravit AG - Sheraton, Cairo, Egypt 13 days ago, Full Time, 
Digital Transformation Section Head, Confidential - New Cairo, Cairo, Egypt 12 days ago, Full Time, 
Sr. Architecture Design Engineer (Lighting), Elsewedy industries - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Video Content Creator, Ashtar Tech    - Maadi, Cairo, Egypt 1 month ago, Full Time, 
FF&E Engineer, Talaat Moustafa Group - Dokki, Giza, Egypt 20 hours ago, Full Time, 
Content creator & publisher, Road9 Media - Maadi, Cairo, Egypt 27 days ago, Internship, 
Senior Operations / Admission Specialist, Egyptian Cultural Center - Nasr City, Cairo, Egypt 19 days ago, Full Time, 
Interior Design Engineer, Solikgroup  - Sidi Gaber, Alexandria, Egypt 2 months ago, Full Time, 
Senior Analyst/Investment Banking, Intercap Capital  - Dokki, Giza, Egypt 18 days ago, Full Time, 
Content Creator, Engosoft - Nasr City, Cairo, Egypt 29 days ago, Full Time, 
Graphic Design and Video Internship, Bed Scrunchie - New York City, United States 2 months ago, Internship, 
UI/UX Developer, Estafsar - Downtown, Cairo, Egypt 27 days ago, Full Time, 
Content Creator, Terra Tint - Giza, Egypt 1 month ago, Full Time, 
SAP FICO Consultant, Mediterraneo Trading - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Kids Fashion Designer, Confidential - Rehab City, Cairo, Egypt 2 months ago, Full Time, 
junior Projects Coordinator, Alicoegypt - Heliopolis, Cairo, Egypt 2 months ago, Full Time, 
Odoo Functional Consultant - Odoo Implementer, ERP-Bank - Sidi Gaber, Alexandria, Egypt 1 month ago, Full Time, 
Senior Content creator, Etoile - Cairo, Egypt 2 months ago, Full Time, 
UI UX Designer, Nano Shield - Maadi, Cairo, Egypt 2 months ago, Full Time, 
SEO Content Creator (Remote Work), Confidential - Cairo, Egypt 20 days ago, Full Time, 
Senior Odoo Functional Consultant, OdooTec - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Video Editor, EL KHETA - San Stefano, Alexandria, Egypt 2 months ago, Internship, 
Creative Graphic Designer (m/f/d) Wanted for Dynamic Tech Startup, NClip - Koeln, Germany 2 months ago, Part Time, 
English / Arabic content creator, Nile University - Sheikh Zayed, Giza, Egypt 23 days ago, Full Time, 
Program Coordinator - Ismailia, ITIDA - Ismailia, Ismailia, Egypt 25 days ago, Part Time, 
Scheduling Coordinator, Hyundai Rotem - Luxor, Egypt 1 month ago, Full Time, 
Front-end or Back-end Developer, RCG consulting group - Heliopolis, Cairo, Egypt 1 month ago, Full Time, 
Scaffoldings & Framwork Team Leader, Confidential - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Corporate Relations Executive, Wisely Insure - Nasr City, Cairo, Egypt 1 month ago, Full Time, 
Content Creator and Social Media Manager, Lacasa Company - Alibrahimiyyah, Alexandria, Egypt 2 months ago, Full Time, 
Content Creator, Confidential - Dokki, Giza, Egypt 2 months ago, Full Time, 
Senior Functional Consultant (Odoo), Outservingplus - Cairo, Egypt 2 months ago, Full Time, 
Implementation Project Manager (Odoo), Outservingplus - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
English Proofreader, Selah ElTelmeez For Publishing & printing - Obour City, Cairo, Egypt 2 months ago, Full Time, 
Interior Designer, Homy Funrniture - Cairo, Egypt 18 days ago, Full Time, 
EXHIBITION STAND DESIGNER, Takeleap DMCC - Riyadh, Saudi Arabia 1 month ago, Full Time, 
Graphic Designer, emperium - Cairo, Egypt 2 months ago, Freelance / Project, 
UI/UX Designer, Egypt Best Properties - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
ID Manager, Hill International (Middle East) Limited - Dubai, United Arab Emirates 24 days ago, Full Time, 
Digital Merchandiser, JobIn - Dubai, United Arab Emirates 10 days ago, Full Time, 
Taste & Wellbeing Creative Marketing Associate for the Middle East region, Givaudan Suisse SA (Dubai Branch) - Dubai, United Arab Emirates 16 days ago, Full Time, 
LAND SURVEYOR - ROADS, Duncan & Ross Consulting - Dubai, United Arab Emirates 10 days ago, Full Time, 
Junior Data Analyst, Skill Farm - Dubai, United Arab Emirates 11 days ago, Full Time, 
Accounting Supervisor, Titan Cement Egypt  - Sheraton, Cairo, Egypt 2 months ago, Full Time, 
LAND SURVEYOR - BUILDINGS, Duncan & Ross Consulting - Dubai, United Arab Emirates 19 days ago, Full Time, 
Visual Merchandiser, EMNOCA LLC - Dubai, United Arab Emirates 20 days ago, Full Time, 
Consultant - Information & Communication Technology, Frost & Sullivan - Riyadh, Saudi Arabia 6 days ago, Full Time, 
Content Creator - Freelance, Crossworkers-Egypt - Cairo, Egypt 7 days ago, Full Time, 
Front-End Developer, LikeCard - Cairo, Egypt 8 days ago, Full Time, 
Business Development Specialist (AI Tools), Hire My Tech - Dubai, United Arab Emirates 15 days ago, Full Time, 
Junior Business Presentation Designer, McKinsey & Company - Riyadh, Saudi Arabia 25 days ago, Full Time, 
Communications Officer, Rekrut by Talent 360 - Cairo, Egypt 3 days ago, Full Time, 
Production Planning Officer, Emirates - Dubai, United Arab Emirates 26 days ago, Full Time, 
Senior Architect, Archcorp Architectural Engineering - Dubai, United Arab Emirates 12 days ago, Full Time, 
Digital Marketing Lead, SupportFinity™ - Cairo, Egypt 4 days ago, Full Time, 
Freelance Creative Professionals, jobed.com - Cairo, Egypt 26 days ago, Full Time, 
Content Creator & Graphics Designer, 360 Company Ltd. - Riyadh, Saudi Arabia 18 days ago, Full Time, 
Marketing Specialist, Rekrut by Talent 360 - Cairo, Egypt 5 days ago, Full Time, 
Senior Architect UAE, archcorp - Dubai, United Arab Emirates 7 days ago, Full Time, 
Senior Marketing Executive, COREcruitment - Dubai, United Arab Emirates 26 days ago, Full Time, 
Presentation and Support Specialist, Lifera - Riyadh, Saudi Arabia 15 days ago, Full Time, 
Content Creator, Publicis Worldwide - Dubai, United Arab Emirates 24 days ago, Full Time, 
IT Sales Professional in Egypt, KR Group Corporation - Cairo, Egypt 4 days ago, Full Time, 
Architect (Authority / Project Coordinator), archcorp - Dubai, United Arab Emirates 7 days ago, Full Time, 
Internal Communication Senior Specialist, Integrant, Inc. - Cairo, Egypt 6 days ago, Full Time, 
Oracle Commerce Cloud Software Engineer, Domino Printing - Dubai, United Arab Emirates 10 days ago, Full Time, 
Marketing Coordinator, Swissôtel Al Maqam Makkah - Dubai, United Arab Emirates 11 days ago, Full Time, 
Presales Manager, Keyloop - Dubai, United Arab Emirates 12 days ago, Full Time, 
Program Execution Planner, General Motors Africa & Middle East - Cairo, Egypt 13 days ago, Full Time, 
Part-Time HR Instructor-CPE, American University of Kuwait (AUK) - Doha, Qatar 27 days ago, Freelance / Project, 
Product Management Senior Analyst, Accenture Middle East - Dubai, United Arab Emirates 24 days ago, Full Time, 
Traffic Coordinator, VML - Cairo, Egypt 11 days ago, Full Time, 
Housekeeping Manager, Fairmont Hotels & Resorts - Dubai, United Arab Emirates 2 days ago, Full Time, 
Aircraft Technician - Structures Workshop, Emirates - Dubai, United Arab Emirates 17 days ago, Full Time, 
Application Engineer - Calibre - EDA - (Cairo, Egypt), Siemens EDA (Siemens Digital Industries Software) - Cairo, Egypt 29 days ago, Full Time, 
Social Media Manager, Banyan Tree - Dubai, United Arab Emirates 6 days ago, Full Time, 
Aircraft Components Technician in Structures Workshop (Plating), Emirates - Dubai, United Arab Emirates 17 days ago, Full Time, 
Healthcare Nutrition Specialist (HNS) -Egypt, DANONE - Cairo, Egypt 18 days ago, Full Time, 
Transformation Sr. Lead- Power Platform_VOIS, _VOIS - Cairo, Egypt 11 days ago, Full Time, 
Editor, Time Out Dubai, ITP Media Group - Dubai, United Arab Emirates 14 days ago, Full Time, 
Marketing Executive, Bukhash Brothers - Dubai, United Arab Emirates 20 days ago, Full Time, 
Social Media Manager, Ennismore - Dubai, United Arab Emirates 6 days ago, Full Time, 
Marketing Coordinator - Middle East, RELX Group plc - Dubai, United Arab Emirates 26 days ago, Full Time, 
Information Management Associate (SC 6), World Food Program - Other locations - Cairo, Egypt 25 days ago, Full Time, 
Engineer, Inspection, SABIC - Riyadh, Saudi Arabia 18 days ago, Full Time, 
Content Creator & Editor, Bukhash Brothers - Dubai, United Arab Emirates 19 days ago, Full Time, 
Associate Dean, College of Business, University of Doha for Science & Technology - Doha, Qatar 26 days ago, Full Time, 
