job_title, company_name_and_address, job_type
senior graphic designer, Deja Clinic - Bolkly, Alexandria, Egypt 27 days ago, Full Time, 
Graphic Designer (Full Time) - (On-site), Smart IT - Nasr City, Cairo, Egypt 27 days ago, Full Time, 
Graphic Designer - Internship, Bingo Global - New Nozha, Cairo, Egypt 28 days ago, Freelance / Project, 
Visual Merchandiser manager, Tie House - Downtown, Cairo, Egypt 28 days ago, Full Time, 
Graphic Designer, Circle K - Sheraton, Cairo, Egypt 29 days ago, Full Time, 
Front End Developer - React Js 24005, Ditech Egypt - Cairo, Egypt 28 days ago, Full Time, 
Senior Graphic Designer, Octa Z.R.A - Nasr City, Cairo, Egypt 29 days ago, Full Time, 
Graphic Designer, Hamza Group - Dokki, Giza, Egypt 29 days ago, Full Time, 
Junior Fashion Technical Designer, Carina Wear - New Cairo, Cairo, Egypt 29 days ago, Full Time, 
Interior Designer kitchen & dressing, Unitree for wood working - Sheikh Zayed, Giza, Egypt 29 days ago, Full Time, 
Interior Designer, Alep Studio - New Cairo, Cairo, Egypt 29 days ago, Full Time, 
Graphic Designer, International Company for Coffee Industry - Cafe Najjar  - 6th of October, Giza, Egypt 30 days ago, Full Time, 
Graphic Designer, Hekaya Pastry  - Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Tie House - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer & Marketing Executive, Rockal - Nasr City, Cairo, Egypt 1 month ago, Full Time, 
Graphic & Social Media Specialist /A&I design company, WRIGHT PLAN - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Snr -Graphic Designer (Brand & Motion Graphics), 9H Capital  - Valletta, Malta 1 month ago, Full Time, 
Graphic Designer, korAddiction Sports Development & Entertainment - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Confidential - Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Grid Fine Finishes - Zamalek, Cairo, Egypt 1 month ago, Full Time, 
Compositor / Motion Graphic Designer, Mazzika Group - Dokki, Giza, Egypt 1 month ago, Full Time, 
Sr. Graphic Designer / Video Editor, IMV Agency - Dokki, Giza, Egypt 1 month ago, Full Time, 
Sr. Art Director, Confidential - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Confidential - Nasr City, Cairo, Egypt 1 month ago, Full Time, 
UI/UX Designer, FiveM - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Endless Creations Company - Sheraton, Cairo, Egypt 1 month ago, Full Time, 
UI/UX Designer, Bnaia - Maadi, Cairo, Egypt 1 month ago, Internship, 
Graphic Designer, Sarmady - Mohandessin, Giza, Egypt 1 month ago, Full Time, 
Junior Graphic Designer, Memaar Alashraaf - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Confidential - Tabuk, Saudi Arabia 1 month ago, Full Time, 
Sr. Graphic designer, Digitillusion - Cairo, Egypt 1 month ago, Full Time, 
Senior Social Media Designer, Bold Brand - Mokattam, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, ELLE Egypt - Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Confidential - Alexandria, Egypt 1 month ago, Full Time, 
UI UX Designer Job Description, Road9 Media - Maadi, Cairo, Egypt 1 month ago, Full Time, 
E Commerce Account Manager, Mirtec International - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Seaats - Cairo, Egypt 1 month ago, Full Time, 
Senior UI/UX Designer, Expert Apps - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer Intern, 9H Capital  - Valletta, Malta 1 month ago, Internship, 
Senior UI/UX Designer, Youxel - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer & Video Editor, NEW GCC GROUP LIMITLESS  - Nasr City, Cairo, Egypt 1 month ago, Full Time, 
Logo Designer - One Time Project, DKDesigns - Heliopolis, Cairo, Egypt 1 month ago, Freelance / Project, 
Fashion Designer, Tie House - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Product Designer / Drafter, Azza Fahmy Jewellery - 6th of October, Giza, Egypt 1 month ago, Full Time, 
Graphic Designer and video editor, Some Skin Care  - Cairo, Egypt 1 month ago, Full Time, 
Infographic & Graphic Designer, Confidential - Mohandessin, Giza, Egypt 1 month ago, Full Time, 
Interior Designer, Z Concept - Cairo, Egypt 1 month ago, Full Time, 
Senior Graphic Designer, Refilex - Dokki, Giza, Egypt 1 month ago, Full Time, 
Graphic Designer, Universities of Canada in Egypt - New Capital, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Gate to Digital - Jeddah, Saudi Arabia 1 month ago, Full Time, 
Interior Designer, EGY TRADE - Alexandria, Egypt 1 month ago, Full Time, 
Social Media Specialist, Egpay - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Graphic Designer, Egypt Best Properties - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Animation and Motion/video editing, Egypt Best Properties - New Cairo, Cairo, Egypt 1 month ago, Full Time, 
Video Editor & Motion graphics designer, Danat Travels  - Nasr City, Cairo, Egypt 1 month ago, Full Time, 
Senior Graphic Designer, Essence Adverts - Maadi, Cairo, Egypt 1 month ago, Full Time, 
Junior Graphic Designer, AFFSQUARE - Sheraton, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Venues Real Estate - Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Miracle-On - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Senior Graphic Designer, Confidential - Cairo, Egypt 2 months ago, Full Time, 
Senior Motion Graphic Designer/Animator, Bee Interactive Ltd. - Zamalek, Cairo, Egypt 2 months ago, Full Time, 
Jr Motion Graphic Designer( 3 months Contract- morning or night shift ), Bee Interactive Ltd. - Zamalek, Cairo, Egypt 2 months ago, Freelance / Project, 
Art Director, Tafaseel BPO International  - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer - Alexandria, International Group For Modern Coating  - Bourj Alarab, Alexandria, Egypt 2 months ago, Full Time, 
Graphic Designer, Confidential - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Senior Graphic Designer, branspect - Heliopolis, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Art Food - 10th of Ramadan City, Sharqia, Egypt 2 months ago, Full Time, 
Senior Interior Designer, sketchure - 6th of October, Giza, Egypt 2 months ago, Full Time, 
Senior UI Developer, Confidential - 6th of October, Giza, Egypt 2 months ago, Full Time, 
Motion Graphic Designer, Confidential - 6th of October, Giza, Egypt 2 months ago, Full Time, 
Senior Graphic Designer, Riadco 2000 - Obour City, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, The Osiris Labs - Mokattam, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, MAJ Consulting Group - Mohandessin, Giza, Egypt 2 months ago, Full Time, 
Graphic Designer, RS - Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, SwiftMart - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Junior Graphic Designer, Wham Clinics  - Sheikh Zayed, Giza, Egypt 2 months ago, Full Time, 
Interior Designer, Elwan For Ceramic and Porcelain - 6th of October, Giza, Egypt 2 months ago, Full Time, 
Graphic Designer, Rankoussi Group - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Marketopia - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, PGQ Group  - Mohandessin, Giza, Egypt 2 months ago, Full Time, 
Graphic Designer, Rankoussi Group - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Premium Card - Dokki, Giza, Egypt 2 months ago, Full Time, 
GRAPHIC DESIGNER, Lacasa Company - Alibrahimiyyah, Alexandria, Egypt 2 months ago, Full Time, 
Advertising Art Director, Hamwi Cafe - Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Confidential - 6th of October, Giza, Egypt 2 months ago, Full Time, 
Motion Graphics Designer, Asia Furniture - Heliopolis, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, engineering tracks - Nasr City, Cairo, Egypt 2 months ago, Full Time, 
Graphic Designer, Chemipharm  - 6th of October, Giza, Egypt 2 months ago, Full Time, 
Graphic Designer, Bouri Group - New Cairo, Cairo, Egypt 2 months ago, Full Time, 
Designer Motion and Graphic, Mico World Limited - Maadi, Cairo, Egypt 2 months ago, Full Time, 
