,jop_title,company_name,city,job_type
98,Senior Social Media Designer, Bold Brand , Mokattam,Part Time
99,Graphic Designer, ELLE Egypt , Cairo,Part Time
100,Graphic Designer, Confidential , Alexandria,Internship
101,UI UX Designer Job Description, Road9 Media , Maadi,Internship
102,E Commerce Account Manager, Mirtec International , New Cairo,Freelance / Project
103,Graphic Designer, Seaats , Cairo,Freelance / Project
104,Senior UI/UX Designer, Expert Apps , Maadi,Internship
105,Graphic Designer Intern, 9H Capital  , Valletta,Full Time
106,Senior UI/UX Designer, Youxel , Maadi,Freelance / Project
107,Graphic Designer & Video Editor, NEW GCC GROUP LIMITLESS  , Nasr City,Part Time
108,Logo Designer - One Time Project, DKDesigns , Heliopolis,Full Time
109,Fashion Designer, Tie House , New Cairo,Full Time
110,Product Designer / Drafter, Azza Fahmy Jewellery , 6th of October,Freelance / Project
111,Graphic Designer and video editor, Some Skin Care  , Cairo,Part Time
112,Infographic & Graphic Designer, Confidential , Mohandessin,Freelance / Project
113,Interior Designer, Z Concept , Cairo,Internship
114,Senior Graphic Designer, Refilex , Dokki,Internship
115,Graphic Designer, Universities of Canada in Egypt , New Capital,Internship
116,Graphic Designer, Gate to Digital , Jeddah,Full Time
117,Interior Designer, EGY TRADE , Alexandria,Freelance / Project
118,Social Media Specialist, Egpay , Maadi,Full Time
119,Graphic Designer, Egypt Best Properties , New Cairo,Full Time
120,Animation and Motion/video editing, Egypt Best Properties , New Cairo,Full Time
121,Video Editor & Motion graphics designer, Danat Travels  , Nasr City,Full Time
122,Senior Graphic Designer, Essence Adverts , Maadi,Internship
123,Junior Graphic Designer, AFFSQUARE , Sheraton,Internship
124,Graphic Designer, Venues Real Estate , Cairo,Internship
125,Graphic Designer, Miracle,On - New Cairo,Part Time
126,Senior Graphic Designer, Confidential , Cairo,Freelance / Project
127,Senior Motion Graphic Designer/Animator, Bee Interactive Ltd. , Zamalek,Part Time
128,Jr Motion Graphic Designer( 3 months Contract- morning or night shift ), Bee Interactive Ltd. , Zamalek,Full Time
129,Art Director, Tafaseel BPO International  , New Cairo,Internship
130,Graphic Designer - Alexandria, International Group For Modern Coating  , Bourj Alarab,Full Time
131,Graphic Designer, Confidential , New Cairo,Full Time
132,Senior Graphic Designer, branspect , Heliopolis,Full Time
133,Graphic Designer, Art Food , 10th of Ramadan City,Internship
134,Senior Interior Designer, sketchure , 6th of October,Freelance / Project
135,Senior UI Developer, Confidential , 6th of October,Freelance / Project
136,Motion Graphic Designer, Confidential , 6th of October,Internship
137,Senior Graphic Designer, Riadco 2000 , Obour City,Part Time
138,Graphic Designer, The Osiris Labs , Mokattam,Part Time
139,Graphic Designer, MAJ Consulting Group , Mohandessin,Freelance / Project
140,Graphic Designer, RS , Cairo,Full Time
141,Graphic Designer, SwiftMart , New Cairo,Full Time
142,Junior Graphic Designer, Wham Clinics  , Sheikh Zayed,Internship
143,Interior Designer, Elwan For Ceramic and Porcelain , 6th of October,Internship
144,Graphic Designer, Rankoussi Group , New Cairo,Internship
145,Graphic Designer, Marketopia , New Cairo,Internship
146,Graphic Designer, PGQ Group  , Mohandessin,Freelance / Project
147,Graphic Designer, Rankoussi Group , New Cairo,Part Time
148,Graphic Designer, Premium Card , Dokki,Part Time
149,GRAPHIC DESIGNER, Lacasa Company , Alibrahimiyyah,Full Time
150,Advertising Art Director, Hamwi Cafe , Cairo,Freelance / Project
151,Graphic Designer, Confidential , 6th of October,Part Time
152,Motion Graphics Designer, Asia Furniture , Heliopolis,Internship
153,Graphic Designer, engineering tracks , Nasr City,Internship
154,Graphic Designer, Chemipharm  , 6th of October,Full Time
155,Graphic Designer, Bouri Group , New Cairo,Full Time
156,Designer Motion and Graphic, Mico World Limited , Maadi,Part Time
157,Graphic Designer, RAQMU for Building and Construction , Heliopolis,Part Time
158,Technical Designer, Confidential , Maadi,Freelance / Project
159,Senior Video Editor / Motion Designer, سهولة الوصول , Cairo,Full Time
160,Motion & Graphic Designer, Mico World Limited , Maadi,Internship
161,Graphic Designer, flyadeal Egypt , Giza,Part Time
162,Graphic Designer, El karez , New Nozha,Internship
163,senior Graphic designer, Roi lab advertising agency  , New Cairo,Full Time
164,Interior Designer, Impact Technology  , Cairo,Freelance / Project
165,Graphic Designer, Edex Business Solutions , Cairo,Part Time
166,Video Editor/ Graphic Designer, Whitecollars , Cairo,Internship
167,Graphic and Motion Designer - Siemens Energy, Cairo Egypt,,Full Time
168,Art Director, topEngineer , Dubai,Part Time
169,Graphic Designer - UAE National, Jacobs Engineering Group Inc , Dubai,Freelance / Project
170,Motion and Graphic Designer, Tawzef for Recruitment & HR Consultancy , Cairo,Internship
171,Design Architect, REMANAG , Cairo,Internship
172,Senior Product Designer, geidea , Cairo,Full Time
173,Graphic Designer, ASTUDIO , Dubai,Freelance / Project
174,Graphic Designer, Fortes Holdings , Dubai,Freelance / Project
175,Graphic Designer - UAE National, Jacobs , Dubai,Internship
176,Graphic Designer, Confidencial , Dubai,Freelance / Project
177,BIM Coordinator - UAE National, Jacobs Engineering Group Inc , Dubai,Internship
178,Graphic Designer, Puratos , Riyadh,Part Time
179,Jr. Machine Operator, Pepsi , Riyadh,Full Time
180,UX Designer, Amaris Consulting , Dubai,Full Time
181,Project Designer, JLG Architects , Alexandria,Freelance / Project
182,Designer, Time Out GCC and Ahlan,,Freelance / Project
183,Partner Performance Specialist – German Speaker (Cairo-based), Careersatagoda , Cairo,Internship
184,Graphic Designer, Jowan Future Design & print , Riyadh,Full Time
185,Senior Art Director, MediaMonks , Dubai,Full Time
186,UX Designer, Amaris , Dubai,Freelance / Project
187,Senior Master/ Urban Planner, HDR , Riyadh,Internship
188,Director of Marketing - Food and Beverage - Madinat Jumeirah Resort, Jumeirah Hotels & Resorts , Dubai,Part Time
189,Senior UX/UI Designer, FinancialDocs , Dubai,Full Time
190,User Experience Designer ( UAE National ), Commercial Bank of Dubai , Dubai,Part Time
191,Director of Marketing, Miraval The Red Sea , Riyadh,Part Time
192,UX Designer, Truelancer.com , Cairo,Internship
193,Accountant | Retail | IKEA Cairo Festival City, Majed el Futtiam , Cairo,Freelance / Project
194,Graphic Designer, Demind Firma Management , Dubai,Part Time
195,Senior UX Researcher - Qualitative, Careem , Dubai,Freelance / Project
196,Graphic Designer, BanoPuratos , Riyadh,Part Time
197,Art & Design Manager, Miral Experiences , Dubai,Internship
198,Director of Marketing, Hyatt Hotels Corporation , Riyadh,Internship
199,Midweight Designer/Artworker, 160over90 , Dubai,Freelance / Project
200,Assistant Editor, BBC News , Cairo,Part Time
201,Senior Graphic Designer, Snoonu , Doha,Internship
202,Campaign Design & Implementation Analyst - Nespresso UAE, Nestlé Nespresso SA , Dubai,Part Time
203,Delivery Specialist, SAMACO Automotive , Riyadh,Part Time
204,Senior Graphic Designer, Cehail International , Cairo,Part Time
205,Sr. Landscape Architect (BIM), DAR ENGINEERING , Cairo,Freelance / Project
206,Middleweight Designer/Artworker, 160over90 , Dubai,Part Time
207,Senior Designer (Digital), 160over90 , Dubai,Internship
208,Senior Digital Designer, 160over90 , Dubai,Freelance / Project
209,Stylist - UAE National, Chloé , Dubai,Freelance / Project
210,Graphic Designer - Social Media Support (Arabic Speaker), Black Pearl Consult , Dubai,Full Time
211,Director of Digital Transformation (UAE Nationals Only), Trans Skills LLC , Dubai,Freelance / Project
212,Design Architect, Allsopp & Allsopp Recruitment & Executive Search , Dubai,Full Time
213,Marketing Director, Informa Markets , Dubai,Part Time
214,Director - Financial Planning & Analysis - FMCG/Telecom/Real Estate, Embark Pace , Dubai,Internship
215,Director - Corporate Tax, KPMG Lower Gulf , Dubai,Full Time
216,Senior UX Designer, VML , Riyadh,Freelance / Project
217,Senior UI Designer, VML , Riyadh,Part Time
218,User Experience Designer, ASTUDIO , Dubai,Part Time
219,User Experience (UX) Designer - FINTEC Applications, Believe Resourcing Group , Dubai,Freelance / Project
220,Senior Director, Cybersecurity,,Internship
221,Junior Motion Graphics Designer, dentsu , Cairo,Full Time
222,Lead Game Designer, Games Factory Talents | Connecting Passion & Talent , Riyadh,Full Time
223,Graphic Designer Intern, Hawk Eye LLC , Dubai,Internship
224,Finalizer, Saatchi & Saatchi , Dubai,Full Time
225,Lead artist - Mobile, Steer Studios , Riyadh,Internship
226,International Writer/Editor Consultant - Cairo, UN Women , Cairo,Full Time
227,Graphic Designer (Arabic speaker), Black Pearl Consult , Dubai,Full Time
228,Resident Senior Associate Landscape Architect, Cracknell , Dubai,Freelance / Project
229,Product Designer, Axis , Cairo,Part Time
230,Technical NOC Operator, Praxis , Dubai,Freelance / Project
231,Senior UI Visual Designer, UPFRONTHR , Dubai,Part Time
232,Senior Photographer, dentsu , Cairo,Internship
233,Junior Media Planner, dentsu , Cairo,Freelance / Project
234,UI UX Designer, Pentavalue , Cairo,Part Time
235,Lead, Production Excellence,,Internship
236,3D Visualization Artist with Motion Graphics (Architecture and Interior), archcorp , Dubai,Full Time
237,Graphic Designer, Rekrut by Talent 360 , Cairo,Full Time
238,Copywriter/Social Media Coordinator, Abwaab , Riyadh,Freelance / Project
239,Sr. UI/UX Designer, DXC.technology , Cairo,Freelance / Project
240,371-3D Visualizers, theWORK , Riyadh,Part Time
241,Emirati UX/UI Designer, Emira Talent , Abu Dhabi,Full Time
242,Interior Designer-UAE, archcorp , Dubai,Freelance / Project
243,Sr.Product Designer, LOYNOVA , Cairo,Freelance / Project
244,Art Director, ASTUDIO , Dubai,Freelance / Project
245,Sr. UI/UX Designer, DXC Technology , Cairo,Internship
246,Designer (Civil), NPCC , Dubai,Internship
247,Junior BIM Mechanical Engineer., Rekrut by Talent 360 , Cairo,Part Time
248,Senior Design Manager, JobIn , Riyadh,Part Time
249,Design Interface Coordinator, Besix International , Riyadh,Part Time
250,Machine Operator (Prime / Coating / blasting station): Abu Dhabi, NOV , Dubai,Full Time
251,Social Media Marketing Trainee, Stella Stays , Dubai,Full Time
252,Senior UI/UX Designer, Core42 , Dubai,Internship
253,Marketing Director, Informa Connect Limited , Riyadh,Part Time
254,Graphic Designer, Rawabi United Safety Services Company Limited (RUSS) , Riyadh,Internship
255,Photographer/Videographer (Resident in the KSA), Whitecollars , Jeddah,Internship
256,Creative Designer - Experienced _VOIS, _VOIS , Cairo,Full Time
257,Art Director - Digital Video Production, Info Arab Media , Dubai,Freelance / Project
258,Marketing Director, Informa Connect of Informa PLC , Riyadh,Part Time
259,Graphic Designer, Duncan & Ross Consulting , Riyadh,Part Time
260,Social Media & Influencer Manager, Ennismore , Doha,Internship
261,Photographer & Videographer (Hotel & Retail), Ennismore , Doha,Internship
262,UI/UX Designer, Project Growth , Cairo,Full Time
263,Social Media & Influencer Executive (Waterpark & Beach Club), Ennismore , Doha,Internship
264,Art Director, GroupM MENA , Dubai,Part Time
265,Social Media & Influencer Executive (Hotel & Retail), Ennismore , Doha,Internship
266,Photographer & Videographer (Waterpark & Beach Club), Ennismore , Doha,Internship
267,Director - Procurement - Aldar Education, Aldar Education , Dubai,Internship
268,CEO – Interior Design, GatedTalent , Connecting Top Executive Search Firms And Executives - Dubai,Part Time
269,Graphic Designer - Marketing - Burj Al Arab, Jumeirah Hotels & Resorts , Dubai,Freelance / Project
270,Art Director, Games Factory Talents | Connecting Passion & Talent , Riyadh,Freelance / Project
271,Technical Officer, PERSOLKELLY , Riyadh,Part Time
272,BIM COORDINATOR - MECHANICAL, Duncan & Ross Consulting , Riyadh,Full Time
